Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
41,Tommy Heatherly,Florida International,CUSA,5,32,1420,44.4,,tommy-heatherly-1
42,Jake Julien,Eastern Michigan,MAC,6,16,708,44.3,,jake-julien-1
43,Matt Hayball*,Florida Atlantic,CUSA,9,45,1983,44.1,,matt-hayball-1
44,Tory Taylor,Iowa,Big Ten,8,40,1765,44.1,,tory-taylor-1
45,Adam Barry,Temple,American,7,40,1760,44.0,,adam-barry-1
46,Brady White*,Memphis,American,11,1,44,44.0,,brady-white-1
47,Corey Dunn*,Iowa State,Big 12,3,2,88,44.0,,corey-dunn-1
48,Will Spiers*,Clemson,ACC,12,45,1979,44.0,,will-spiers-1
49,Andrew Osteen*,UCF,American,10,40,1756,43.9,,andrew-osteen-1
50,James Smith*,Cincinnati,American,10,40,1754,43.9,,james-smith-8
51,Zach Von Rosenberg,LSU,SEC,9,59,2593,43.9,,zach-von-rosenberg-1
52,Blake Hayes,Illinois,Big Ten,8,42,1838,43.8,,blake-hayes-1
53,Kyle Ulbrich,Middle Tennessee State,CUSA,9,43,1882,43.8,,kyle-ulbrich-1
54,Aidan Swanson*,Clemson,ACC,3,3,131,43.7,,aidan-swanson-1
55,Ben Kiernan*,North Carolina,ACC,10,34,1485,43.7,,ben-kiernan-1
56,Bryce Baringer,Michigan State,Big Ten,7,37,1613,43.6,,bryce-baringer-1
57,Cameron Dicker*,Texas,Big 12,10,8,349,43.6,,cameron-dicker-2
58,Nathan Snyder*,Ball State,MAC,8,29,1265,43.6,,nathan-snyder-2
59,Paxton Brooks,Tennessee,SEC,10,49,2138,43.6,,paxton-brooks-1
60,Tom Snee*,Oregon,Pac-12,7,25,1091,43.6,,tom-snee-1
61,Alex Mastromanno,Florida State,ACC,8,35,1523,43.5,,alex-mastromanno-1
62,Reid Bauer,Arkansas,SEC,9,39,1698,43.5,,reid-bauer-1
63,Rhys Byrns*,Louisiana,Sun Belt,11,36,1567,43.5,,rhys-byrns-1
64,Adam Stack*,Hawaii,MWC,9,44,1910,43.4,,adam-stack-1
65,Bernardo Rodriguez*,North Texas,CUSA,10,37,1605,43.4,,bernardo-rodriguez-1
66,Haydon Whitehead*,Indiana,Big Ten,8,39,1693,43.4,,haydon-whitehead-1
67,Kai Kroeger,South Carolina,SEC,10,39,1690,43.3,,kai-kroeger-1
68,Ryan Bujcevski*,Texas,Big 12,7,39,1687,43.3,,ryan-bujcevski-1
69,Zach Harding*,Army,Ind,11,41,1774,43.3,,zach-harding-1
70,Luke Elzinga,Central Michigan,MAC,6,33,1425,43.2,,luke-elzinga-1
71,Daniel Sparks,Louisiana-Monroe,Sun Belt,10,31,1337,43.1,,daniel-sparks-1
72,Grant McKinniss,Missouri,SEC,10,39,1680,43.1,,grant-mckinniss-1
73,Luke Akers,UCLA,Pac-12,7,24,1034,43.1,,luke-akers-1
74,Adam Korsak,Rutgers,Big Ten,9,48,2062,43.0,,adam-korsak-1
75,Cody Gronewold*,Northwestern,Big Ten,1,1,43,43.0,,cody-gronewold-1
76,Lachlan Wilson*,Tulsa,American,9,42,1806,43.0,,lachlan-wilson-1
77,Oscar Bradburn,Virginia Tech,ACC,10,37,1591,43.0,,oscar-bradburn-1
78,Tyler Loop,Arizona,Pac-12,5,24,1033,43.0,,tyler-loop-1
79,Porter Wilson,Duke,ACC,11,53,2276,42.9,,porter-wilson-1
80,Tucker Day*,Mississippi State,SEC,9,29,1244,42.9,,tucker-day-1
81,Charlie Mendes,Rice,CUSA,5,21,898,42.8,,charlie-mendes-1
82,Jay Bramblett*,Notre Dame,ACC,12,43,1839,42.8,,jay-bramblett-1
83,Dom Dzioban,Miami (OH),MAC,3,15,640,42.7,,dom-dzioban-1
84,Nick Mihalic,Western Michigan,MAC,6,18,768,42.7,,nick-mihalic-1
85,Kyle Greenwell,UAB,CUSA,9,46,1958,42.6,,kyle-greenwell-1
86,Adam Williams*,Memphis,American,11,43,1829,42.5,,adam-williams-2
87,Robert LeFevre*,Marshall,CUSA,9,33,1402,42.5,,robert-lefevre-1
88,Grant Carlson,Boston College,ACC,11,43,1825,42.4,,grant-carlson-1
89,Nash Griffin,Virginia,ACC,10,42,1780,42.4,,nash-griffin-1
90,Race Porter,Washington,Pac-12,4,10,424,42.4,,race-porter-1
91,Aidan Marshall*,Auburn,SEC,7,16,676,42.3,,aidan-marshall-1
92,Matt Ference,Northern Illinois,MAC,6,31,1308,42.2,,matt-ference-1
93,Anthony Pecorella,Maryland,Big Ten,5,15,631,42.1,,anthony-pecorella-1
94,Kyle Vantrease*,Buffalo,MAC,7,1,42,42.0,,kyle-vantrease-1
95,Reed Bowman*,Mississippi State,SEC,11,30,1260,42.0,,reed-bowman-1
96,George Georgopoulos,Massachusetts,Ind,4,29,1214,41.9,,george-georgopoulos-1
97,Xavier Subotsch*,Appalachian State,Sun Belt,12,36,1510,41.9,,xavier-subotsch-1
98,Aidan Alves*,Liberty,Ind,11,26,1088,41.8,,aidan-alves-1
99,Anthony Beck II*,Georgia Southern,Sun Belt,13,51,2130,41.8,,anthony-beck-ii-1
100,Derek Adams*,Northwestern,Big Ten,9,44,1840,41.8,,derek-adams-1
101,Jonn Young,East Carolina,American,9,28,1171,41.8,,jonn-young-1
102,Andy Vujnovich*,Wisconsin,Big Ten,7,34,1419,41.7,,andy-vujnovich-1
103,Jack Brooks,South Alabama,Sun Belt,10,43,1794,41.7,,jack-brooks-1
104,Laine Wilkins*,Houston,American,8,38,1583,41.7,,laine-wilkins-1
105,Jordan Stout,Penn State,Big Ten,9,33,1371,41.5,,jordan-stout-2
106,Austin Kent,Georgia Tech,ACC,10,3,124,41.3,,austin-kent-1
107,Josh Watts*,Colorado,Pac-12,6,35,1447,41.3,,josh-watts-1
108,Trent Schneider,South Florida,American,8,32,1323,41.3,,trent-schneider-1
109,William Przystup,Nebraska,Big Ten,6,24,991,41.3,,william-przystup-1
110,Luke Larsen,East Carolina,American,5,13,536,41.2,,luke-larsen-1
111,Carson King,Fresno State,MWC,6,4,164,41.0,,carson-king-2
112,Harrison Smith,Vanderbilt,SEC,8,46,1887,41.0,,harrison-smith-3
113,Jared March,Utah,Pac-12,2,6,246,41.0,,jared-march-1
114,Joel Velazquez,Boise State,MWC,5,22,901,41.0,,joel-velazquez-1
115,Jordy Sandy,Texas Christian,Big 12,10,57,2337,41.0,,jordy-sandy-1
116,Josh Carlson,New Mexico State,Ind,2,10,410,41.0,,josh-carlson-1
117,Oscar Chapman*,Auburn,SEC,9,28,1148,41.0,,oscar-chapman-1
118,Seamus O'Kelly,Texas State,Sun Belt,12,57,2336,41.0,,seamus-okelly-1
119,Stan Gaudion*,Hawaii,MWC,7,1,41,41.0,,stan-gaudion-1
120,Ty Zentner,Kansas State,Big 12,10,28,1142,40.8,,ty-zentner-1
121,Stephen Kotsanlee,Utah State,MWC,6,37,1507,40.7,,stephen-kotsanlee-1
122,Joe Rivera*,Iowa State,Big 12,12,45,1826,40.6,,joe-rivera-1
123,Ryan Hanson,Arkansas State,Sun Belt,11,41,1666,40.6,,ryan-hanson-1
124,Nik Constantinou*,Texas A&M,SEC,10,36,1459,40.5,,nik-constantinou-1
125,Tyler Sumpter*,West Virginia,Big 12,9,37,1499,40.5,,tyler-sumpter-1
126,Tyler Sumpter*,West Virginia,Big 12,9,37,1499,40.5,,tyler-sumpter-2
127,Michael Hayes*,Georgia State,Sun Belt,10,50,2022,40.4,,michael-hayes-4
128,Tyson Dyer,New Mexico,MWC,7,34,1372,40.4,,tyson-dyer-1
129,Brooks Cormier,Purdue,Big Ten,6,14,564,40.3,,brooks-cormier-1
130,Charles Ouverson*,Coastal Carolina,Sun Belt,12,35,1410,40.3,,charles-ouverson-1
131,Isaac Power,Baylor,Big 12,9,55,2219,40.3,,isaac-power-1
132,Ivan Mora*,Wake Forest,ACC,8,40,1610,40.3,,ivan-mora-1
133,Kyle Romenick,Akron,MAC,5,29,1168,40.3,,kyle-romenick-1
134,Caleb Lightbourn,Oregon State,Pac-12,7,13,522,40.2,,caleb-lightbourn-1
135,Ryan Harwell,Louisville,ACC,8,19,761,40.1,,ryan-harwell-1
136,Tristan Gebbia,Oregon State,Pac-12,4,1,40,40.0,,tristan-gebbia-1
137,Ian Henzi,Kent State,MAC,4,9,359,39.9,,ian-henzi-1
138,Jamieson Sheahan,California,Pac-12,4,23,917,39.9,,jamieson-sheahan-1
139,Kyle Thompson,Kansas,Big 12,4,26,1037,39.9,,kyle-thompson-1
140,Kolton McGhee*,West Virginia,Big 12,4,9,357,39.7,,kolton-mcghee-1
141,Tom Hutton*,Oklahoma State,Big 12,10,59,2340,39.7,,tom-hutton-2
142,Elijah Fischer*,San Jose State,MWC,8,33,1307,39.6,,elijah-fischer-1
143,Joseph Carlson,Air Force,MWC,5,14,555,39.6,,joseph-carlson-1
144,Asher O'Hara,Middle Tennessee State,CUSA,9,2,79,39.5,,asher-ohara-1
145,Griffin Fleming,Southern Mississippi,CUSA,9,36,1421,39.5,,griffin-fleming-1
146,Ross Bowers,Northern Illinois,MAC,6,2,79,39.5,,ross-bowers-1
147,Cade Fuller,Fresno State,MWC,4,19,748,39.4,,cade-fuller-1
148,Gavin Wale,Boise State,MWC,1,7,276,39.4,,gavin-wale-1
149,Chris Naggar,SMU,American,10,29,1140,39.3,,chris-naggar-1
150,Colton Spangler,Maryland,Big Ten,5,13,511,39.3,,colton-spangler-1
151,Joshua Sloan,UTEP,CUSA,8,30,1180,39.3,,joshua-sloan-1
152,Matt Naranjo,Bowling Green,MAC,4,19,747,39.3,,matt-naranjo-1
153,Zach Hoover*,Ohio State,Big Ten,1,3,118,39.3,,zach-hoover-1
154,Charlie Scott*,Alabama,SEC,9,22,862,39.2,,charlie-scott-2
155,Reeves Mundschau*,Oklahoma,Big 12,11,38,1486,39.1,,reeves-mundschau-1
156,Tyler Crawford,Nebraska,Big Ten,4,7,274,39.1,,tyler-crawford-1
157,Jack Blumer,Kansas State,Big 12,10,24,937,39.0,,jack-blumer-1
158,Ryan Sanborn,Stanford,Pac-12,6,23,898,39.0,,ryan-sanborn-1
159,Ben Lennon,Utah,Pac-12,4,14,544,38.9,,ben-lennon-1
160,Evan Finegan*,Buffalo,MAC,7,18,699,38.8,,evan-finegan-1
161,Logan Lupo,Louisville,ACC,5,17,660,38.8,,logan-lupo-1
162,Nick Null,Wyoming,MWC,6,29,1122,38.7,,nick-null-1
163,Mitchell Crawford,Michigan State,Big Ten,4,9,346,38.4,,mitchell-crawford-1
164,Charlton Butt,Nevada-Las Vegas,MWC,4,22,842,38.3,,charlton-butt-1
165,Hugh Robertson,Illinois,Big Ten,1,1,38,38.0,,hugh-robertson-1
166,Mark Crawford,Minnesota,Big Ten,5,17,642,37.8,,mark-crawford-4
167,Reis Vernon,Kansas,Big 12,5,38,1438,37.8,,reis-vernon-1
168,Jacob Barnes*,Louisiana Tech,CUSA,10,49,1825,37.2,,jacob-barnes-1
169,Daniel Davies,Navy,American,9,44,1631,37.1,,daniel-davies-1
170,Bailey Hockman*,North Carolina State,ACC,10,1,37,37.0,,bailey-hockman-1
171,Brady Farlow*,Louisiana Tech,CUSA,2,5,185,37.0,,brady-farlow-1
172,Chad Ryland,Eastern Michigan,MAC,6,1,37,37.0,,chad-ryland-1
173,Shai Werts*,Georgia Southern,Sun Belt,11,1,37,37.0,,shai-werts-1
174,Jack Wilson,Ohio,MAC,3,13,480,36.9,,jack-wilson-4
175,Kyle Coale,Troy,Sun Belt,9,22,809,36.8,,kyle-coale-1
176,Donovan Gagen,Kansas,Big 12,6,3,110,36.7,,donovan-gagen-1
177,Jackson Baltar*,Buffalo,MAC,2,2,73,36.5,,jackson-baltar-1
178,Zac Collins,Purdue,Big Ten,4,10,365,36.5,,zac-collins-1
179,Bailey Flint,Toledo,MAC,6,19,692,36.4,,bailey-flint-1
180,Jared Porter,Louisiana-Monroe,Sun Belt,3,17,617,36.3,,jared-porter-1
181,Grant Wells*,Marshall,CUSA,10,1,36,36.0,,grant-wells-1
182,Jake Haener,Fresno State,MWC,6,2,72,36.0,,jake-haener-1
183,Matias Gasc*,Miami (FL),ACC,1,1,36,36.0,,matias-gasc-1
184,Drew Plitt*,Ball State,MAC,8,4,143,35.8,,drew-plitt-1
185,Jonah Dalmas,Boise State,MWC,7,5,179,35.8,,jonah-dalmas-1
186,Quintavius Workman,UTEP,CUSA,5,2,71,35.5,,quintavius-workman-1
187,Kenny Scribner,South Florida,American,6,7,248,35.4,,kenny-scribner-1
188,Sam Johnson*,Alabama,SEC,4,10,354,35.4,,sam-johnson-10
189,Sam Loy,Arkansas,SEC,2,5,176,35.2,,sam-loy-1
190,Jake McClure*,Oklahoma State,Big 12,11,3,105,35.0,,jake-mcclure-1
191,Jordan McCloud,South Florida,American,8,1,35,35.0,,jordan-mccloud-1
192,Liam Jones,Kansas,Big 12,4,1,35,35.0,,liam-jones-1
193,Matthew Stephenson,Minnesota,Big Ten,7,8,279,34.9,,matthew-stephenson-1
194,Chevan Cordeiro*,Hawaii,MWC,9,3,104,34.7,,chevan-cordeiro-1
195,Jalon Daniels,Kansas,Big 12,7,1,34,34.0,,jalon-daniels-1
196,Carson Strong*,Nevada,MWC,9,3,101,33.7,,carson-strong-1
197,Ben Fee,Navy,American,10,9,301,33.4,,ben-fee-1
198,Jared Wheatley,Vanderbilt,SEC,2,5,166,33.2,,jared-wheatley-1
199,Daton Montiel*,Marshall,CUSA,2,2,66,33.0,,daton-montiel-1
200,Peter Moore,Virginia Tech,ACC,1,3,99,33.0,,peter-moore-1
201,Conor Schlichting*,Wisconsin,Big Ten,4,2,65,32.5,,conor-schlichting-1
202,Matt Fraanje,SMU,American,2,5,162,32.4,,matt-fraanje-1
203,Bo Nix*,Auburn,SEC,11,3,97,32.3,,bo-nix-1
204,Mason Hunt,Southern Mississippi,CUSA,1,4,129,32.3,,mason-hunt-1
205,Holton Ahlers,East Carolina,American,8,1,32,32.0,,holton-ahlers-1
206,Kyle Trask*,Florida,SEC,12,1,32,32.0,H-4,kyle-trask-1
207,Jerry Fitschen,Akron,MAC,6,3,93,31.0,,jerry-fitschen-1
208,Jack Plummer,Purdue,Big Ten,3,2,61,30.5,,jack-plummer-1
209,Will Hart,Michigan,Big Ten,5,5,151,30.2,,will-hart-2
210,Zac Thomas*,Appalachian State,Sun Belt,12,1,30,30.0,,zac-thomas-2
211,George Holani,Boise State,MWC,4,1,29,29.0,,george-holani-1
212,Tanner Morgan,Minnesota,Big Ten,7,2,56,28.0,,tanner-morgan-2
213,Mason Lawler,Bowling Green,MAC,3,3,79,26.3,,mason-lawler-1
214,Cornelious Brown*,Georgia State,Sun Belt,10,1,24,24.0,,cornelious-brown-1
215,Keola Downing,Boise State,MWC,1,1,23,23.0,,keola-downing-1
216,Chance Nolan,Oregon State,Pac-12,4,1,22,22.0,,chance-nolan-1
