Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
85,Cameron Dicker*,Texas,Big 12,10,50,51,98.0,15,21,71.4,95,,cameron-dicker-2
86,Casey Legg*,West Virginia,Big 12,7,9,9,100.0,5,7,71.4,24,,casey-legg-1
87,Collin Larsh*,Wisconsin,Big Ten,7,23,23,100.0,5,7,71.4,38,,collin-larsh-1
88,Everett Hayes,Oregon State,Pac-12,7,19,19,100.0,5,7,71.4,34,,everett-hayes-1
89,Jared Sackett,South Florida,American,6,10,10,100.0,5,7,71.4,25,,jared-sackett-1
90,Matt Araiza,San Diego State,MWC,8,23,24,95.8,10,14,71.4,53,,matt-araiza-1
91,Nate Needham,Bowling Green,MAC,5,6,6,100.0,5,7,71.4,21,,nate-needham-2
92,Blake Lynch,Kansas State,Big 12,9,30,30,100.0,12,17,70.6,66,,blake-lynch-2
93,Christopher Dunn*,North Carolina State,ACC,12,43,43,100.0,12,17,70.6,79,,christopher-dunn-1
94,Daniel Obarski*,UCF,American,10,46,49,93.9,12,17,70.6,82,,daniel-obarski-1
95,Griffin Kell,Texas Christian,Big 12,10,36,37,97.3,12,17,70.6,72,,griffin-kell-1
96,Cole Smith*,Cincinnati,American,10,48,50,96.0,7,10,70.0,69,,cole-smith-2
97,Shane Ciucci*,Marshall,CUSA,9,36,36,100.0,7,10,70.0,57,,shane-ciucci-1
98,Jake Pinegar,Penn State,Big Ten,9,27,28,96.4,9,13,69.2,54,,jake-pinegar-1
99,Parker Lewis,USC,Pac-12,6,23,23,100.0,9,13,69.2,50,,parker-lewis-1
100,Chandler Staton*,Appalachian State,Sun Belt,12,51,52,98.1,13,19,68.4,90,,chandler-staton-1
101,Connor Assalley*,Iowa State,Big 12,12,48,49,98.0,13,19,68.4,87,,connor-assalley-1
102,Riley Patterson*,Memphis,American,11,36,37,97.3,15,22,68.2,81,,riley-patterson-1
103,Anders Gelecinskyj,Minnesota,Big Ten,2,5,5,100.0,2,3,66.7,11,,anders-gelecinskyj-1
104,Brock Walker,Minnesota,Big Ten,4,12,14,85.7,2,3,66.7,18,,brock-walker-1
105,Cory Smigel,Akron,MAC,6,13,13,100.0,4,6,66.7,25,,cory-smigel-1
106,Evan Staley*,West Virginia,Big 12,6,19,19,100.0,6,9,66.7,37,,evan-staley-1
107,Evan Staley*,West Virginia,Big 12,6,19,19,100.0,6,9,66.7,37,,evan-staley-2
108,Gavin Stewart,Georgia Tech,ACC,8,22,24,91.7,2,3,66.7,28,,gavin-stewart-1
109,Grayson Atkins*,North Carolina,ACC,12,63,63,100.0,12,18,66.7,99,,grayson-atkins-1
110,Jack Knight*,Ball State,MAC,7,20,22,90.9,8,12,66.7,44,,jack-knight-1
111,Jacob Borcila,Kansas,Big 12,9,10,10,100.0,6,9,66.7,28,,jacob-borcila-1
112,Jacob Lewis*,Ball State,MAC,8,8,9,88.9,2,3,66.7,14,,jacob-lewis-2
113,Jake Verity,East Carolina,American,9,30,31,96.8,14,21,66.7,72,,jake-verity-1
114,John Mayers,Baylor,Big 12,9,22,22,100.0,10,15,66.7,52,,john-mayers-1
115,Matthew Trickett,Kent State,MAC,3,22,22,100.0,4,6,66.7,34,,matthew-trickett-1
116,Peyton Henry,Washington,Pac-12,4,13,14,92.9,6,9,66.7,31,,peyton-henry-1
117,Quinn Maretzki*,Army,Ind,8,15,15,100.0,4,6,66.7,27,,quinn-maretzki-1
118,Spencer Shrader,South Florida,American,8,11,12,91.7,4,6,66.7,23,,spencer-shrader-1
119,Will Mobley,Temple,American,4,7,8,87.5,4,6,66.7,19,,will-mobley-1
120,Jonathan Doerer*,Notre Dame,ACC,12,48,48,100.0,15,23,65.2,93,,jonathan-doerer-1
121,Alex Barbir*,Liberty,Ind,11,50,52,96.2,13,20,65.0,89,,alex-barbir-1
122,AJ Reed,Arkansas,SEC,9,27,29,93.1,7,11,63.6,48,,aj-reed-1
123,Jet Toner,Stanford,Pac-12,6,17,18,94.4,7,11,63.6,38,,jet-toner-1
124,Evan Legassey,Troy,Sun Belt,11,34,35,97.1,13,21,61.9,73,,evan-legassey-1
125,Blake Grupe,Arkansas State,Sun Belt,11,43,45,95.6,11,18,61.1,76,,blake-grupe-1
126,Bijan Nichols,Navy,American,9,16,18,88.9,6,10,60.0,34,,bijan-nichols-1
127,James McCourt,Illinois,Big Ten,6,15,15,100.0,6,10,60.0,33,,james-mccourt-1
128,Luke Logan*,Ole Miss,SEC,10,45,48,93.8,6,10,60.0,63,,luke-logan-1
129,Merek Glover*,Tulane,American,12,51,52,98.1,9,15,60.0,78,,merek-glover-1
130,Parker White,South Carolina,SEC,10,26,27,96.3,11,19,57.9,59,,parker-white-2
131,Jonathan Cruz,Charlotte,CUSA,6,18,18,100.0,4,7,57.1,30,,jonathan-cruz-1
132,Joseph Petrino,Maryland,Big Ten,5,14,14,100.0,4,7,57.1,26,,joseph-petrino-1
133,Matthew Shipley*,Hawaii,MWC,9,26,26,100.0,8,14,57.1,50,,matthew-shipley-1
134,Parker Grothaus,Florida State,ACC,9,14,14,100.0,4,7,57.1,26,,parker-grothaus-1
135,Robert Liss,Colorado State,MWC,4,11,11,100.0,4,7,57.1,23,,robert-liss-1
136,Robert Liss,Colorado State,MWC,4,11,11,100.0,4,7,57.1,23,,robert-liss-2
137,Ryan Fitzgerald,Florida State,ACC,5,12,12,100.0,4,7,57.1,24,,ryan-fitzgerald-1
138,Thiago Kapps,Western Michigan,MAC,5,23,26,88.5,4,7,57.1,35,,thiago-kapps-1
139,Brady Pohl*,Oklahoma State,Big 12,6,17,19,89.5,5,9,55.6,32,,brady-pohl-1
140,Brent Cimaglia,Tennessee,SEC,8,19,20,95.0,5,9,55.6,34,,brent-cimaglia-1
141,Gavin Baechle,UTEP,CUSA,8,23,23,100.0,5,9,55.6,38,,gavin-baechle-1
142,Tevye Schuettpelz-Rohl,Air Force,MWC,6,15,15,100.0,5,9,55.6,30,,tevye-schuettpelz-rohl-1
143,George Steinkamp,New Mexico,MWC,4,8,8,100.0,6,11,54.5,26,,george-steinkamp-1
144,Crews Holt,Middle Tennessee State,CUSA,9,23,23,100.0,7,13,53.8,44,,crews-holt-1
145,Cristian Zendejas,Arizona State,Pac-12,4,9,9,100.0,2,4,50.0,15,,cristian-zendejas-1
146,Dominic DiMaccio*,Ohio State,Big Ten,5,3,3,100.0,1,2,50.0,6,,dominic-dimaccio-1
147,Ethan Mooney*,North Texas,CUSA,9,38,38,100.0,7,14,50.0,59,,ethan-mooney-1
148,Gavin Peddie,Western Michigan,MAC,2,8,8,100.0,1,2,50.0,11,,gavin-peddie-1
149,Jake Seibert*,Ohio State,Big Ten,3,16,16,100.0,1,2,50.0,19,,jake-seibert-1
150,Jeremy Martin,Massachusetts,Ind,2,1,1,100.0,1,2,50.0,4,,jeremy-martin-1
151,Nate Snyder*,Louisiana,Sun Belt,11,21,23,91.3,5,10,50.0,36,,nate-snyder-1
152,Pierson Cooke,Vanderbilt,SEC,8,9,9,100.0,4,9,44.4,21,,pierson-cooke-1
153,Davis Hughes,Louisiana-Monroe,Sun Belt,8,13,16,81.3,2,5,40.0,19,,davis-hughes-1
154,Evan Davis,Toledo,MAC,2,11,11,100.0,2,5,40.0,17,,evan-davis-2
155,Jordan Stout,Penn State,Big Ten,9,0,0,,2,5,40.0,6,,jordan-stout-2
156,Quinn Nordin,Michigan,Big Ten,4,12,12,100.0,2,5,40.0,18,,quinn-nordin-1
157,Alan Orona,Texas State,Sun Belt,3,9,10,90.0,1,3,33.3,12,,alan-orona-1
158,Tristian Vandenberg,Ohio,MAC,3,12,13,92.3,2,6,33.3,18,,tristian-vandenberg-1
159,Alex McNulty*,Buffalo,MAC,7,42,42,100.0,1,4,25.0,45,,alex-mcnulty-1
160,Camden Lewis*,Oregon,Pac-12,6,15,15,100.0,1,4,25.0,18,,camden-lewis-1
161,Jake Moody,Michigan,Big Ten,6,9,9,100.0,1,4,25.0,12,,jake-moody-1
162,Jude Kelley,Georgia Tech,ACC,5,4,5,80.0,1,5,20.0,7,,jude-kelley-1
163,Trey Wolff,Texas Tech,Big 12,7,26,27,96.3,1,5,20.0,29,,trey-wolff-1
164,Andrew Shelley,New Mexico,MWC,2,0,0,,0,1,0.0,0,,andrew-shelley-1
165,Caleb Shudak,Iowa,Big Ten,8,0,0,,0,1,0.0,0,,caleb-shudak-1
166,Cameron Carson,Massachusetts,Ind,4,0,0,,0,1,0.0,0,,cameron-carson-1
167,Jack Van Dyke*,Wisconsin,Big Ten,7,0,0,,0,1,0.0,0,,jack-van-dyke-1
168,James Stefanou*,Colorado,Pac-12,1,5,5,100.0,0,2,0.0,5,,james-stefanou-1
169,Kyle Ramsey*,Houston,American,2,8,8,100.0,0,1,0.0,8,,kyle-ramsey-1
170,Noah Rauschenberg,Baylor,Big 12,8,0,0,,0,1,0.0,0,,noah-rauschenberg-1
171,Tyler Tipton*,Tulsa,American,2,1,1,100.0,0,1,0.0,1,,tyler-tipton-2
172,Aidan Swanson*,Clemson,ACC,3,2,2,100.0,0,0,,2,,aidan-swanson-1
173,Anth Rodriguez,Air Force,MWC,3,2,2,100.0,0,0,,2,,anth-rodriguez-1
174,Ben Freehill*,Oklahoma State,Big 12,1,1,2,50.0,0,0,,1,,ben-freehill-1
175,Ben Sauls,Pitt,ACC,1,1,1,100.0,0,0,,1,,ben-sauls-1
176,Camden Price*,Miami (FL),ACC,1,1,1,100.0,0,0,,1,,camden-price-1
177,Casey Griffith*,Ole Miss,SEC,1,1,1,100.0,0,0,,1,,casey-griffith-1
178,Dawson Goepferich*,Notre Dame,ACC,2,2,2,100.0,0,0,,2,,dawson-goepferich-1
179,D.J. Wellons,Toledo,MAC,1,1,1,100.0,0,0,,1,,dj-wellons-1
180,Jace Christman*,Mississippi State,SEC,3,5,5,100.0,0,0,,5,,jace-christman-1
181,Jack Crane*,Wake Forest,ACC,9,7,7,100.0,0,0,,7,,jack-crane-1
182,Jackson Baltar*,Buffalo,MAC,2,1,1,100.0,0,0,,1,,jackson-baltar-1
183,Jason Stricker*,Liberty,Ind,1,1,2,50.0,0,0,,1,,jason-stricker-1
184,Jonah Fortkamp,Ohio,MAC,1,1,1,100.0,0,0,,1,,jonah-fortkamp-1
185,Jonathan Weitz*,Clemson,ACC,1,1,1,100.0,0,0,,1,,jonathan-weitz-1
186,Justen Smith*,BYU,Ind,1,3,4,75.0,0,0,,3,,justen-smith-1
187,Kenny Scribner,South Florida,American,6,2,2,100.0,0,0,,2,,kenny-scribner-1
188,Kieran Colahan*,Coastal Carolina,Sun Belt,1,1,1,100.0,0,0,,1,,kieran-colahan-1
189,Mac Dalena,Fresno State,MWC,6,2,4,50.0,0,0,,2,,mac-dalena-1
190,Michael Lantz,Minnesota,Big Ten,3,6,7,85.7,0,0,,6,,michael-lantz-1
191,Nels Haltom,Utah State,MWC,3,2,3,66.7,0,0,,2,,nels-haltom-1
192,Noah Ruggles*,North Carolina,ACC,1,1,1,100.0,0,0,,1,,noah-ruggles-1
193,Sarah Fuller,Vanderbilt,SEC,2,2,2,100.0,0,0,,2,,sarah-fuller-1
194,Seth Phillis,Kent State,MAC,1,3,4,75.0,0,0,,3,,seth-phillis-1
195,Toby Wilson,Tennessee,SEC,2,7,8,87.5,0,0,,7,,toby-wilson-1
196,Trey Finison*,Northwestern,Big Ten,1,0,1,0.0,0,0,,0,,trey-finison-1
197,Wes Farley,Vanderbilt,SEC,3,6,6,100.0,0,0,,6,,wes-farley-1
198,Zach Elder,Louisiana-Monroe,Sun Belt,2,2,4,50.0,0,0,,2,,zach-elder-1
