Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
388,Trey Owens*,Texas,SEC,2,2,4,50.0,19,0,0.0,0,0.0,4.8,4.75,9.5,9.5,89.9,,trey-owens-1
389,Jacob Knuth*,Kansas State,Big 12,2,2,2,100.0,18,0,0.0,0,0.0,9.0,9.00,9.0,9.0,175.6,,jacob-knuth-1
390,Jaden Smith,Nevada,MWC,13,1,1,100.0,18,0,0.0,0,0.0,18.0,18.00,18.0,1.4,251.2,,jaden-smith-2
391,JD Sherrod,Kent State,MAC,2,2,7,28.6,18,0,0.0,0,0.0,2.6,2.57,9.0,9.0,50.2,,jd-sherrod-1
392,Kyle Lowe,Georgia State,Sun Belt,5,3,7,42.9,18,1,14.3,0,0.0,2.6,5.43,6.0,3.6,111.6,,kyle-lowe-2
393,R.J. Harvey,UCF,Big 12,12,1,1,100.0,18,0,0.0,0,0.0,18.0,18.00,18.0,1.5,251.2,,rj-harvey-1
394,Ta'Quan Roberson*,Kansas State,Big 12,6,3,7,42.9,18,0,0.0,0,0.0,2.6,2.57,6.0,3.0,64.5,,taquan-roberson-1
395,Walker White,Auburn,SEC,1,2,5,40.0,18,0,0.0,0,0.0,3.6,3.60,9.0,18.0,70.2,,walker-white-1
396,Eli Stowers*,Vanderbilt,SEC,13,1,2,50.0,17,1,50.0,0,0.0,8.5,18.50,17.0,1.3,286.4,,eli-stowers-1
397,Tyler Pastula,San Diego State,MWC,12,3,3,100.0,17,0,0.0,0,0.0,5.7,5.67,5.7,1.4,147.6,,tyler-pastula-1
398,Brennan Presley,Oklahoma State,Big 12,12,1,1,100.0,16,1,100.0,0,0.0,16.0,36.00,16.0,1.3,564.4,,brennan-presley-1
399,Taylor Tatum*,Oklahoma,SEC,11,2,2,100.0,16,1,50.0,0,0.0,8.0,18.00,8.0,1.5,332.2,,taylor-tatum-1
400,Trent Ward*,San Jose State,MWC,1,1,3,33.3,16,0,0.0,1,33.3,5.3,-9.67,16.0,16.0,11.5,,trent-ward-2
401,Jackson Brousseau*,Colorado State,MWC,1,3,6,50.0,15,0,0.0,1,16.7,2.5,-5.00,5.0,15.0,37.7,,jackson-brousseau-1
402,Davis Sherwood*,Notre Dame,Ind,15,1,1,100.0,14,0,0.0,0,0.0,14.0,14.00,14.0,0.9,217.6,,davis-sherwood-1
403,Harris Boyd*,Memphis,American,3,1,1,100.0,14,0,0.0,0,0.0,14.0,14.00,14.0,4.7,217.6,,harris-boyd-1
404,Tetairoa McMillan,Arizona,Big 12,12,1,2,50.0,14,0,0.0,0,0.0,7.0,7.00,14.0,1.2,108.8,AA,tetairoa-mcmillan-1
405,Alex Tecza*,Navy,American,13,1,1,100.0,13,0,0.0,0,0.0,13.0,13.00,13.0,1.0,209.2,,alex-tecza-1
406,Max Cutforth,Boise State,MWC,2,2,2,100.0,13,0,0.0,0,0.0,6.5,6.50,6.5,6.5,154.6,,max-cutforth-1
407,Nate Johnson*,Vanderbilt,SEC,10,1,3,33.3,12,0,0.0,0,0.0,4.0,4.00,12.0,1.2,66.9,,nate-johnson-3
408,OJ Arnold*,Georgia Southern,Sun Belt,12,1,1,100.0,12,1,100.0,0,0.0,12.0,32.00,12.0,1.0,530.8,,oj-arnold-1
409,Sean Atkins*,South Florida,American,13,1,3,33.3,12,1,33.3,0,0.0,4.0,10.67,12.0,0.9,176.9,,sean-atkins-1
410,Cameran Brown*,Texas Tech,Big 12,8,4,9,44.4,11,0,0.0,1,11.1,1.2,-3.78,2.8,1.4,32.5,,cameran-brown-1
411,Jalyn Gramstad*,Nebraska,Big Ten,1,1,3,33.3,11,0,0.0,0,0.0,3.7,3.67,11.0,11.0,64.1,,jalyn-gramstad-1
412,Nicholas Barr-Mira,Mississippi State,SEC,12,1,1,100.0,11,0,0.0,0,0.0,11.0,11.00,11.0,0.9,192.4,,nicholas-barr-mira-1
413,Pierce Clarkson*,Louisville,ACC,2,3,4,75.0,11,0,0.0,0,0.0,2.8,2.75,3.7,5.5,98.1,,pierce-clarkson-1
414,Reagan Ealy*,Arkansas State,Sun Belt,13,1,1,100.0,11,0,0.0,0,0.0,11.0,11.00,11.0,0.8,192.4,,reagan-ealy-1
415,AJ Swann*,LSU,SEC,2,2,4,50.0,10,0,0.0,0,0.0,2.5,2.50,5.0,5.0,71.0,,aj-swann-1
416,Champ Long,Maryland,Big Ten,1,1,2,50.0,10,0,0.0,0,0.0,5.0,5.00,10.0,10.0,92.0,,champ-long-1
417,Cole Welliver*,Connecticut,Ind,1,2,4,50.0,10,0,0.0,0,0.0,2.5,2.50,5.0,10.0,71.0,,cole-welliver-1
418,Darius Taylor*,Minnesota,Big Ten,12,1,1,100.0,10,1,100.0,0,0.0,10.0,30.00,10.0,0.8,514.0,,darius-taylor-1
419,Navy Shuler,Tennessee,SEC,2,1,3,33.3,10,0,0.0,0,0.0,3.3,3.33,10.0,5.0,61.3,,navy-shuler-1
420,Brayden Roggow,Akron,MAC,1,1,2,50.0,9,0,0.0,1,50.0,4.5,-18.00,9.0,9.0,-12.2,,brayden-roggow-1
421,Carson Cruver,Florida Atlantic,American,1,1,1,100.0,9,0,0.0,0,0.0,9.0,9.00,9.0,9.0,175.6,,carson-cruver-1
422,Drew Bobo,Georgia,SEC,14,1,1,100.0,9,0,0.0,0,0.0,9.0,9.00,9.0,0.6,175.6,,drew-bobo-1
423,Ethan Grunkemeyer*,Penn State,Big Ten,1,1,2,50.0,9,0,0.0,1,50.0,4.5,-18.00,9.0,9.0,-12.2,,ethan-grunkemeyer-1
424,Harold Fannin Jr.*,Bowling Green,MAC,13,1,2,50.0,9,0,0.0,0,0.0,4.5,4.50,9.0,0.7,87.8,AA,harold-fannin-jr-1
425,Kai Horton*,Tulane,American,1,1,1,100.0,9,0,0.0,0,0.0,9.0,9.00,9.0,9.0,175.6,,kai-horton-1
426,Kiael Kelly,Ball State,MAC,11,2,4,50.0,8,0,0.0,0,0.0,2.0,2.00,4.0,0.7,66.8,,kiael-kelly-1
427,Shamar Rigby,Purdue,Big Ten,12,1,1,100.0,8,0,0.0,0,0.0,8.0,8.00,8.0,0.7,167.2,,shamar-rigby-1
428,Trent Pearman,Clemson,ACC,3,2,5,40.0,8,0,0.0,1,20.0,1.6,-7.40,4.0,2.7,13.4,,trent-pearman-1
429,Austin Novosad,Oregon,Big Ten,3,2,2,100.0,7,0,0.0,0,0.0,3.5,3.50,3.5,2.3,129.4,,austin-novosad-1
430,Elijah Arroyo*,Miami (FL),ACC,13,1,1,100.0,7,1,100.0,0,0.0,7.0,27.00,7.0,0.5,488.8,,elijah-arroyo-1
