Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
1,Kyle McCord*,Syracuse,ACC,13,391,592,66.0,4779,34,5.7,12,2.0,8.1,8.31,12.2,367.6,148.8,H-10,kyle-mccord-1
2,Cameron Ward*,Miami (FL),ACC,13,305,454,67.2,4313,39,8.6,7,1.5,9.5,10.52,14.1,331.8,172.2,H-4AA,cameron-ward-1
3,Jaxson Dart*,Ole Miss,SEC,13,276,398,69.3,4279,29,7.3,6,1.5,10.8,11.53,15.5,329.2,180.7,,jaxson-dart-1
4,Shedeur Sanders*,Colorado,Big 12,13,353,477,74.0,4134,37,7.8,10,2.1,8.7,9.27,11.7,318.0,168.2,H-8,shedeur-sanders-1
5,Garrett Nussmeier*,LSU,SEC,13,337,525,64.2,4052,29,5.5,12,2.3,7.7,7.79,12.0,311.7,142.7,,garrett-nussmeier-1
6,Will Howard*,Ohio State,Big Ten,16,309,423,73.0,4010,35,8.3,10,2.4,9.5,10.07,13.0,250.6,175.3,,will-howard-2
7,Josh Hoover*,Texas Christian,Big 12,13,313,471,66.5,3949,27,5.7,11,2.3,8.4,8.48,12.6,303.8,151.1,,josh-hoover-1
8,Dillon Gabriel,Oregon,Big Ten,14,326,447,72.9,3857,30,6.7,6,1.3,8.6,9.37,11.8,275.5,164.9,H-3,dillon-gabriel-1
9,Chandler Morris*,North Texas,American,12,322,512,62.9,3774,31,6.1,12,2.3,7.4,7.53,11.7,314.5,140.1,,chandler-morris-1
10,Cade Klubnik,Clemson,ACC,14,308,486,63.4,3639,36,7.4,6,1.2,7.5,8.41,11.8,259.9,148.2,,cade-klubnik-1
11,Rocco Becht*,Iowa State,Big 12,14,271,456,59.4,3505,25,5.5,9,2.0,7.7,7.89,12.9,250.4,138.1,,rocco-becht-1
12,Seth Henigan*,Memphis,American,13,309,477,64.8,3502,25,5.2,6,1.3,7.3,7.82,11.3,269.4,141.2,,seth-henigan-1
13,Carson Beck,Georgia,SEC,13,290,448,64.7,3485,28,6.3,12,2.7,7.8,7.82,12.0,268.1,145.3,,carson-beck-1
14,Quinn Ewers*,Texas,SEC,14,293,445,65.8,3472,31,7.0,12,2.7,7.8,7.98,11.8,248.0,149.0,,quinn-ewers-1
15,Owen McCown*,UTSA,American,13,294,467,63.0,3424,25,5.4,10,2.1,7.3,7.44,11.6,263.4,137.9,,owen-mccown-1
16,Behren Morton*,Texas Tech,Big 12,12,295,466,63.3,3335,27,5.8,8,1.7,7.2,7.54,11.3,277.9,139.1,,behren-morton-1
17,Drew Allar*,Penn State,Big Ten,16,262,394,66.5,3327,24,6.1,8,2.0,8.4,8.75,12.7,207.9,153.5,,drew-allar-1
18,Kevin Jennings,SMU,ACC,14,247,380,65.0,3245,23,6.1,11,2.9,8.5,8.45,13.1,231.8,150.9,,kevin-jennings-2
19,Jordan McCloud*,Texas State,Sun Belt,13,273,389,70.2,3227,30,7.7,13,3.3,8.3,8.33,11.8,248.2,158.6,,jordan-mccloud-1
20,Tyler Shough*,Louisville,ACC,12,244,389,62.7,3195,23,5.9,6,1.5,8.2,8.70,13.1,266.3,148.1,,tyler-shough-1
21,Taylen Green*,Arkansas,SEC,13,230,381,60.4,3154,15,3.9,9,2.4,8.3,8.00,13.7,242.6,138.2,,taylen-green-1
22,John Mateer*,Washington State,Ind,12,224,347,64.6,3139,29,8.4,7,2.0,9.0,9.81,14.0,261.6,164.1,,john-mateer-1
23,Caden Veltkamp*,Western Kentucky,CUSA,13,258,389,66.3,3108,25,6.4,10,2.6,8.0,8.12,12.0,239.1,149.5,,caden-veltkamp-1
24,Nicholas Vattiato,Middle Tennessee State,CUSA,12,269,418,64.4,3092,16,3.8,10,2.4,7.4,7.09,11.5,257.7,134.3,,nicholas-vattiato-1
25,Sawyer Robertson*,Baylor,Big 12,12,229,368,62.2,3071,28,7.6,8,2.2,8.3,8.89,13.4,255.9,153.1,,sawyer-robertson-1
26,Connor Bazelak*,Bowling Green,MAC,13,269,402,66.9,3044,18,4.5,5,1.2,7.6,7.91,11.3,234.2,142.8,,connor-bazelak-1
27,Kurtis Rourke,Indiana,Big Ten,12,222,320,69.4,3042,29,9.1,5,1.6,9.5,10.62,13.7,253.5,176.0,H-9,kurtis-rourke-1
28,Maddux Madsen,Boise State,MWC,14,247,396,62.4,3018,23,5.8,6,1.5,7.6,8.10,12.2,215.6,142.5,,maddux-madsen-1
29,Fernando Mendoza*,California,ACC,11,265,386,68.7,3004,16,4.1,6,1.6,7.8,7.91,11.3,273.1,144.6,,fernando-mendoza-1
30,Joey Aguilar,Appalachian State,Sun Belt,11,218,390,55.9,3003,23,5.9,14,3.6,7.7,7.26,13.8,273.0,132.9,,joey-aguilar-1
31,Noah Fifita,Arizona,Big 12,12,260,430,60.5,2958,18,4.2,12,2.8,6.9,6.46,11.4,246.5,126.5,,noah-fifita-1
32,Jake Retzlaff*,BYU,Big 12,13,213,368,57.9,2947,20,5.4,12,3.3,8.0,7.63,13.8,226.7,136.6,,jake-retzlaff-1
33,Maalik Murphy*,Duke,ACC,12,254,421,60.3,2933,26,6.2,12,2.9,7.0,6.92,11.5,244.4,133.5,,maalik-murphy-2
34,Brett Gabbert*,Miami (OH),MAC,14,217,379,57.3,2921,21,5.5,11,2.9,7.7,7.51,13.5,208.6,134.5,,brett-gabbert-1
35,Kadin Semonza,Ball State,MAC,12,275,427,64.4,2904,25,5.9,10,2.3,6.8,6.92,10.6,242.0,136.2,,kadin-semonza-1
36,Mikey Keene*,Fresno State,MWC,12,277,393,70.5,2892,18,4.6,11,2.8,7.4,7.02,10.4,241.0,141.8,,mikey-keene-1
37,Sam Leavitt,Arizona State,Big 12,13,216,350,61.7,2885,24,6.9,6,1.7,8.2,8.84,13.4,221.9,150.2,,sam-leavitt-1
38,Billy Edwards Jr.,Maryland,Big Ten,11,273,420,65.0,2881,15,3.6,9,2.1,6.9,6.61,10.6,261.9,130.1,,billy-edwards-jr-1
39,Riley Leonard*,Notre Dame,Ind,16,269,403,66.7,2861,21,5.2,8,2.0,7.1,7.25,10.6,178.8,139.6,,riley-leonard-1
40,Jalen Milroe*,Alabama,SEC,13,205,319,64.3,2844,16,5.0,11,3.4,8.9,8.37,13.9,218.8,148.8,,jalen-milroe-1
41,JC French*,Georgia Southern,Sun Belt,13,269,410,65.6,2831,17,4.1,11,2.7,6.9,6.53,10.5,217.8,131.9,,jc-french-1
42,Max Brosmer*,Minnesota,Big Ten,13,268,403,66.5,2828,18,4.5,6,1.5,7.0,7.24,10.6,217.5,137.2,,max-brosmer-1
43,Dylan Raiola*,Nebraska,Big Ten,13,275,410,67.1,2819,13,3.2,11,2.7,6.9,6.30,10.3,216.8,129.9,,dylan-raiola-1
44,Brendan Sorsby,Cincinnati,Big 12,12,249,389,64.0,2813,18,4.6,7,1.8,7.2,7.35,11.3,234.4,136.4,,brendan-sorsby-1
45,Tucker Gleason*,Toledo,MAC,12,233,385,60.5,2808,24,6.2,8,2.1,7.3,7.61,12.1,234.0,138.2,,tucker-gleason-1
46,Brayden Fowler-Nicolosi*,Colorado State,MWC,13,230,380,60.5,2796,14,3.7,9,2.4,7.4,7.03,12.2,215.1,129.8,,brayden-fowler-nicolosi-1
47,Jaylen Raynor*,Arkansas State,Sun Belt,13,259,420,61.7,2783,16,3.8,10,2.4,6.6,6.32,10.7,214.1,125.1,,jaylen--raynor-1
48,Devon Dampier,New Mexico,MWC,12,226,390,57.9,2768,12,3.1,12,3.1,7.1,6.33,12.2,230.7,121.6,,devon-dampier-1
49,Ethan Garbers,UCLA,Big Ten,11,235,363,64.7,2727,16,4.4,11,3.0,7.5,7.03,11.6,247.9,136.3,,ethan-garbers-1
50,Darian Mensah*,Tulane,American,13,189,287,65.9,2723,22,7.7,6,2.1,9.5,10.08,14.4,209.5,166.7,,darian-mensah-1
51,Luke Altmyer*,Illinois,Big Ten,13,211,347,60.8,2717,22,6.3,6,1.7,7.8,8.32,12.9,209.0,144.0,,luke-altmyer-1
52,Payton Thorne,Auburn,SEC,11,199,317,62.8,2713,21,6.6,9,2.8,8.6,8.61,13.6,246.6,150.8,,payton-thorne-1
