Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
673,Thomas Hennigan*,Appalachian State,Sun Belt,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.5,,thomas-hennigan-1
674,Tray Eafford,Troy,Sun Belt,11,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.6,,tray-eafford-1
675,Trevor Wilson*,Buffalo,MAC,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.6,,trevor-wilson-1
676,Tristian Vandenberg,Ohio,MAC,3,0,0,0,0,0,0,0,0,12,13,2,6,0,0,18,6.0,,tristian-vandenberg-1
677,Tyjon Lindsey,Oregon State,Pac-12,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,,tyjon-lindsey-1
678,Tyler Vaughns,USC,Pac-12,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,,tyler-vaughns-1
679,Tyrion Davis-Price,LSU,SEC,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,2.0,,tyrion-davis-price-1
680,Vavae Malepeai,USC,Pac-12,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,3.6,,vavae-malepeai-1
681,Velus Jones Jr.,Tennessee,SEC,10,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,velus-jones-jr-1
682,Whop Philyor*,Indiana,Big Ten,8,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.3,,whop-philyor-1
683,Will Howard,Kansas State,Big 12,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,2.0,,will-howard-2
684,Will Levis,Penn State,Big Ten,8,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,2.3,,will-levis-1
685,Xavier Williams,Kent State,MAC,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,4.5,,xavier-williams-2
686,Zeriah Beason,Oregon State,Pac-12,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.6,,zeriah-beason-1
687,Connor Coles,Utah State,MWC,4,0,0,0,0,0,0,0,0,8,9,3,3,0,0,17,4.3,,connor-coles-1
688,Ethan Albertson,New Mexico State,Ind,2,0,0,0,0,0,0,0,0,5,5,4,4,0,0,17,8.5,,ethan-albertson-1
689,Evan Davis,Toledo,MAC,2,0,0,0,0,0,0,0,0,11,11,2,5,0,0,17,8.5,,evan-davis-2
690,Kwamie Lassiter II,Kansas,Big 12,9,0,2,0,0,0,0,0,2,0,0,0,0,2,0,16,1.8,,kwamie-lassiter-ii-1
691,Michael Penix Jr.*,Indiana,Big Ten,6,2,0,0,0,0,0,0,2,0,0,0,0,2,0,16,2.7,,michael-penix-jr-1
692,Cristian Zendejas,Arizona State,Pac-12,4,0,0,0,0,0,0,0,0,9,9,2,4,0,0,15,3.8,,cristian-zendejas-1
693,Brandon Smith,Iowa,Big Ten,8,0,2,0,0,0,0,0,2,0,0,0,0,1,0,14,1.8,,brandon-smith-11
694,Cade Brewer*,Texas,Big 12,10,0,2,0,0,0,0,0,2,0,0,0,0,1,0,14,1.4,,cade-brewer-1
695,Chase Cota,UCLA,Pac-12,7,0,2,0,0,0,0,0,2,0,0,0,0,1,0,14,2.0,,chase-cota-1
696,Dalen Morris,Navy,American,9,2,0,0,0,0,0,0,2,0,0,0,0,1,0,14,1.6,,dalen-morris-2
697,Garrett Walston*,North Carolina,ACC,12,0,2,0,0,0,0,0,2,0,0,0,0,1,0,14,1.2,,garrett-walston-1
698,Jack Colletto,Oregon State,Pac-12,7,2,0,0,0,0,0,0,2,0,0,0,0,1,0,14,2.0,,jack-colletto-1
699,Jacob Lewis*,Ball State,MAC,8,0,0,0,0,0,0,0,0,8,9,2,3,0,0,14,1.8,,jacob-lewis-2
700,Keaontay Ingram*,Texas,Big 12,6,1,1,0,0,0,0,0,2,0,0,0,0,1,0,14,2.3,,keaontay-ingram-1
701,Max Johnson,LSU,SEC,6,2,0,0,0,0,0,0,2,0,0,0,0,1,0,14,2.3,,max-johnson-2
702,Myles Price,Texas Tech,Big 12,9,1,1,0,0,0,0,0,2,0,0,0,0,1,0,14,1.6,,myles-price-1
703,Raheem Blackshear,Virginia Tech,ACC,11,2,0,0,0,0,0,0,2,0,0,0,0,1,0,14,1.3,,raheem-blackshear-1
