Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
170,Sam Candotti*,Boston College,ACC,4,9,342,38.0,,sam-candotti-1
171,Dino Beslagic*,San Jose State,MWC,7,10,378,37.8,,dino-beslagic-1
172,Ivan Zivenko*,Boston College,ACC,8,25,928,37.1,,ivan-zivenko-1
173,Lars Rau*,Texas State,Sun Belt,12,24,870,36.3,,lars-rau-1
174,Landon Rehkow*,BYU,Big 12,3,5,180,36.0,,landon-rehkow-1
175,Mack West*,Coastal Carolina,Sun Belt,13,1,36,36.0,,mack-west-1
176,Liam Connor*,Boston College,ACC,12,15,538,35.9,,liam-connor-1
177,Conor Hunt,Rice,American,7,12,429,35.8,,conor-hunt-1
178,Brayden Fowler-Nicolosi*,Colorado State,MWC,13,5,176,35.2,,brayden-fowler-nicolosi-1
179,Ian Brandt,Old Dominion,Sun Belt,12,7,245,35.0,,ian-brandt-1
180,Dylan Raiola*,Nebraska,Big Ten,13,2,69,34.5,,dylan-raiola-1
181,Bronson Long,Charlotte,American,1,2,67,33.5,,bronson-long-1
182,Skyler Locklear,UTEP,CUSA,10,2,67,33.5,,skyler-locklear-1
183,Nick McLarty*,Ohio State,Big Ten,2,2,65,32.5,,nick-mclarty-1
184,Kadin Semonza,Ball State,MAC,12,7,227,32.4,,kadin-semonza-1
185,Scott Stanford,Tulsa,American,3,2,61,30.5,,scott-stanford-1
186,Sam Stone*,Boston College,ACC,4,2,56,28.0,,sam-stone-1
187,Jalon Daniels,Kansas,Big 12,12,1,26,26.0,,jalon-daniels-1
188,Joe Bowman,UTEP,CUSA,6,3,78,26.0,,joe-bowman-2
189,Danny O'Neil,San Diego State,MWC,11,1,20,20.0,,danny-oneil-2
190,Cade Klubnik,Clemson,ACC,14,1,19,19.0,,cade-klubnik-1
191,Tyler Warren*,Penn State,Big Ten,16,1,16,16.0,H-7,tyler-warren-1
192,Upton Bellenfant*,Buffalo,MAC,13,1,13,13.0,,upton-bellenfant-1
