Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Harold Fannin Jr.*,Bowling Green,MAC,13,117,1555,13.3,10,119.6,9,65,7.2,1,5.0,126,1620,12.9,11,AA,harold-fannin-jr-1
2,Nick Nash*,San Jose State,MWC,12,104,1382,13.3,16,115.2,1,-9,-9.0,0,-0.8,105,1373,13.1,16,AA,nick-nash-1
3,Tetairoa McMillan,Arizona,Big 12,12,84,1319,15.7,8,109.9,0,0,,0,0.0,84,1319,15.7,8,AA,tetairoa-mcmillan-1
4,Jeremiah Smith*,Ohio State,Big Ten,16,76,1315,17.3,15,82.2,6,47,7.8,1,2.9,82,1362,16.6,16,,jeremiah-smith-2
5,Travis Hunter*,Colorado,Big 12,13,96,1258,13.1,15,96.8,2,5,2.5,1,0.4,98,1263,12.9,16,H-1BednarikAACamp,travis-hunter-2
6,Coleman Owen*,Ohio,MAC,14,78,1245,16.0,8,88.9,2,26,13.0,1,1.9,80,1271,15.9,9,,coleman-owen-1
7,Tyler Warren*,Penn State,Big Ten,16,104,1233,11.9,8,77.1,26,218,8.4,4,13.6,130,1451,11.2,12,H-7,tyler-warren-1
8,Kyle Williams*,Washington State,Ind,13,70,1198,17.1,14,92.2,9,57,6.3,0,4.4,79,1255,15.9,14,,kyle-williams-11
9,Jaylin Noel*,Iowa State,Big 12,14,80,1194,14.9,8,85.3,9,38,4.2,0,2.7,89,1232,13.8,8,,jaylin-noel-1
10,Jayden Higgins*,Iowa State,Big 12,13,87,1183,13.6,9,91.0,0,0,,0,0.0,87,1183,13.6,9,,jayden-higgins-1
11,Eric Rivers,Florida International,CUSA,12,62,1172,18.9,12,97.7,1,-3,-3.0,0,-0.3,63,1169,18.6,12,,eric-rivers-2
12,Andrew Armstrong*,Arkansas,SEC,11,78,1140,14.6,1,103.6,0,0,,0,0.0,78,1140,14.6,1,,andrew-armstrong-2
13,Jamaal Pritchett*,South Alabama,Sun Belt,12,91,1127,12.4,9,93.9,1,3,3.0,0,0.3,92,1130,12.3,9,,jamaal-pritchett-1
14,Xavier Restrepo*,Miami (FL),ACC,12,69,1127,16.3,11,93.9,0,0,,0,0.0,69,1127,16.3,11,AA,xavier-restrepo-1
15,Tai Felton,Maryland,Big Ten,12,96,1124,11.7,9,93.7,2,23,11.5,0,1.9,98,1147,11.7,9,,tai-felton-1
16,Jordyn Tyson,Arizona State,Big 12,12,75,1101,14.7,10,91.8,1,1,1.0,0,0.1,76,1102,14.5,10,,jordyn-tyson-1
17,Mac Dalena*,Fresno State,MWC,13,64,1065,16.6,8,81.9,5,39,7.8,0,3.0,69,1104,16.0,8,,mac-dalena-1
18,Corey Rucker*,Arkansas State,Sun Belt,13,69,1053,15.3,7,81.0,0,0,,0,0.0,69,1053,15.3,7,,corey-rucker-1
19,Jerjuan Newton*,Toledo,MAC,13,72,1048,14.6,11,80.6,1,1,1.0,0,0.1,73,1049,14.4,11,,jerjuan-newton-1
20,Devonte Ross,Troy,Sun Belt,12,76,1043,13.7,11,86.9,9,35,3.9,0,2.9,85,1078,12.7,11,,devonte-ross-2
21,Ricky White*,Nevada-Las Vegas,MWC,13,79,1041,13.2,11,80.1,1,1,1.0,0,0.1,80,1042,13.0,11,,ricky-white-2
22,Jack Bech*,Texas Christian,Big 12,12,62,1034,16.7,9,86.2,0,7,,0,0.6,62,1041,16.8,9,,jack-bech-1
23,Mario Williams*,Tulane,American,14,60,1031,17.2,6,73.6,2,12,6.0,0,0.9,62,1043,16.8,6,,mario-williams-2
24,Tre Harris*,Ole Miss,SEC,8,60,1030,17.2,7,128.8,0,0,,0,0.0,60,1030,17.2,7,,tre-harris-1
25,Josh Kelly*,Texas Tech,Big 12,12,89,1023,11.5,5,85.3,0,0,,0,0.0,89,1023,11.5,5,,josh-kelly-2
26,Jackson Meeks*,Syracuse,ACC,13,78,1021,13.1,7,78.5,0,0,,0,0.0,78,1021,13.1,7,,jackson-meeks-1
27,Ja'Corey Brooks*,Louisville,ACC,12,61,1013,16.6,9,84.4,0,0,,0,0.0,61,1013,16.6,9,,jacorey-brooks-1
28,Emeka Egbuka*,Ohio State,Big Ten,16,81,1011,12.5,10,63.2,8,33,4.1,0,2.1,89,1044,11.7,10,,emeka-egbuka-1
29,Matthew Golden*,Texas,SEC,16,58,987,17.0,9,61.7,0,0,,0,0.0,58,987,17.0,9,,matthew-golden-1
30,Tru Edwards*,Louisiana Tech,CUSA,13,84,986,11.7,6,75.8,1,1,1.0,0,0.1,85,987,11.6,6,,tru-edwards-1
31,Pat Bryant*,Illinois,Big Ten,12,54,984,18.2,10,82.0,5,14,2.8,0,1.2,59,998,16.9,10,,pat-bryant-1
32,Justin Lockhart*,San Jose State,MWC,13,53,983,18.5,5,75.6,0,0,,0,0.0,53,983,18.5,5,,justin-lockhart-1
33,Keandre Lambert-Smith,Auburn,SEC,12,50,981,19.6,8,81.8,0,0,,0,0.0,50,981,19.6,8,,keandre-lambert-smith-1
34,Ted Hurst,Georgia State,Sun Belt,12,56,961,17.2,9,80.1,0,0,,0,0.0,56,961,17.2,9,,ted-hurst-1
35,Elijah Sarratt,Indiana,Big Ten,13,53,957,18.1,8,73.6,0,0,,0,0.0,53,957,18.1,8,,elijah-sarratt-1
36,Junior Vandeross III*,Toledo,MAC,13,85,957,11.3,5,73.6,2,10,5.0,0,0.8,87,967,11.1,5,,junior-vandeross-iii-1
