Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
48,Marshall Meeder*,Central Michigan,MAC,13,0,0,0,0,0,0,0,0,49,51,17,26,0,0,100,7.7,,marshall-meeder-1
49,Isaiah Hankins*,Baylor,Big 12,14,0,0,0,0,0,0,0,0,57,57,14,20,0,0,99,7.1,,isaiah-hankins-1
50,Matt Araiza*,San Diego State,MWC,14,0,0,0,0,0,0,0,0,45,45,18,28,0,0,99,7.1,AA,matt-araiza-1
51,Nick Rice*,Old Dominion,CUSA,13,0,0,0,0,0,0,0,0,39,41,20,26,0,0,99,7.6,,nick-rice-1
52,Andres Borregales,Miami (FL),ACC,12,0,0,0,0,0,0,0,0,45,45,17,21,0,0,96,8.0,,andres-borregales-1
53,Brian Robinson Jr.*,Alabama,SEC,14,14,2,0,0,0,0,0,16,0,0,0,0,0,0,96,6.9,,brian-robinson-jr-1
54,Dameon Pierce*,Florida,SEC,13,13,3,0,0,0,0,0,16,0,0,0,0,0,0,96,7.4,,dameon-pierce-1
55,Matthew Shipley,Hawaii,MWC,13,0,0,0,0,0,0,0,0,42,42,18,21,0,0,96,7.4,,matthew-shipley-1
56,Owen Daffer,East Carolina,American,12,0,0,0,0,0,0,0,0,39,41,19,23,0,0,96,8.0,,owen-daffer-1
57,Rachaad White*,Arizona State,Pac-12,11,15,1,0,0,0,0,0,16,0,0,0,0,0,0,96,8.7,,rachaad-white-1
58,Camden Lewis*,Oregon,Pac-12,14,0,0,0,0,0,0,0,0,55,56,13,16,0,0,94,6.7,,camden-lewis-1
59,Jonathan Garibay*,Texas Tech,Big 12,12,0,0,0,0,0,0,0,0,49,50,15,16,0,0,94,7.8,,jonathan-garibay-1
60,Nicholas Barr-Mira,UCLA,Pac-12,12,0,0,0,0,0,0,0,0,52,54,14,21,0,0,94,7.8,,nicholas-barr-mira-1
61,Thomas Cluckey*,Toledo,MAC,13,0,0,0,0,0,0,0,0,52,52,14,24,0,0,94,7.2,,thomas-cluckey-1
62,Andrew Mevis*,Iowa State,Big 12,13,0,0,0,0,0,0,0,0,32,32,20,23,0,0,92,7.1,,andrew-mevis-1
63,A.T. Perry*,Wake Forest,ACC,14,0,15,0,0,0,0,0,15,0,0,0,0,1,0,92,6.6,,at-perry-1
64,Casey Legg*,West Virginia,Big 12,12,0,0,0,0,0,0,0,0,35,35,19,23,0,0,92,7.7,,casey-legg-1
65,Blake Grupe,Arkansas State,Sun Belt,12,0,0,0,0,0,0,0,0,31,32,20,25,0,0,91,7.6,,blake-grupe-1
66,Bijan Robinson,Texas,Big 12,10,11,4,0,0,0,0,0,15,0,0,0,0,0,0,90,9.0,,bijan-robinson-1
67,Blake Mazza,SMU,American,12,0,0,0,0,0,0,0,0,54,57,12,15,0,0,90,7.5,,blake-mazza-1
68,Charles Williams,Nevada-Las Vegas,MWC,12,15,0,0,0,0,0,0,15,0,0,0,0,0,0,90,7.5,,charles-williams-8
69,Clint Ratkovich*,Northern Illinois,MAC,14,13,2,0,0,0,0,0,15,0,0,0,0,0,0,90,6.4,,clint-ratkovich-1
70,Collin Larsh*,Wisconsin,Big Ten,13,0,0,0,0,0,0,0,0,39,40,17,22,0,0,90,6.9,,collin-larsh-1
71,Dustin Crum*,Kent State,MAC,14,12,1,0,0,0,0,0,13,0,0,0,0,0,0,90,6.4,,dustin-crum-1
72,Jacob Barnes,Louisiana Tech,CUSA,12,0,0,0,0,0,0,0,0,39,39,17,21,0,0,90,7.5,,jacob-barnes-1
73,Jaren Mangham,South Florida,American,12,15,0,0,0,0,0,0,15,0,0,0,0,0,0,90,7.5,,jaren-mangham-1
74,Sincere McCormick*,UTSA,CUSA,14,15,0,0,0,0,0,0,15,0,0,0,0,0,0,90,6.4,,sincere-mccormick-1
75,Caden Costa*,Ole Miss,SEC,11,0,0,0,0,0,0,0,0,46,48,14,17,0,0,88,8.0,,caden-costa-1
76,Cameron Dicker,Texas,Big 12,12,0,0,0,0,0,0,0,0,49,50,13,15,0,0,88,7.3,,cameron-dicker-2
77,Gavin Baechle*,UTEP,CUSA,13,0,0,0,0,0,0,0,0,34,35,18,24,0,0,88,6.8,,gavin-baechle-1
78,James Turner*,Louisville,ACC,13,0,0,0,0,0,0,0,0,46,47,14,22,0,0,88,6.8,,james-turner-2
79,John Parker Romo*,Virginia Tech,ACC,13,0,0,0,0,0,0,0,0,34,34,18,22,0,0,88,6.8,,john-parker-romo-1
80,Christopher Dunn,North Carolina State,ACC,12,0,0,0,0,0,0,0,0,48,48,13,19,0,0,87,7.3,,christopher-dunn-1
81,Matthew Trickett*,Minnesota,Big Ten,13,0,0,0,0,0,0,0,0,36,38,17,25,0,0,87,6.7,,matthew-trickett-1
82,Tanner Brown*,Oklahoma State,Big 12,14,0,0,0,0,0,0,0,0,36,36,17,21,0,0,87,6.2,,tanner-brown-1
83,Mitchell Tinsley*,Western Kentucky,CUSA,14,0,14,0,0,0,0,0,14,0,0,0,0,1,0,86,6.1,,mitchell-tinsley-1
84,Ty Chandler*,North Carolina,ACC,13,13,1,0,0,0,0,0,14,0,0,0,0,1,0,86,6.6,,ty-chandler-1
85,Brock Bowers*,Georgia,SEC,15,1,13,0,0,0,0,0,14,0,0,0,0,0,0,84,5.6,,brock-bowers-1
86,Cade York*,LSU,SEC,12,0,0,0,0,0,0,0,0,39,39,15,18,0,0,84,7.0,,cade-york-1
87,Camerun Peoples*,Appalachian State,Sun Belt,12,14,0,0,0,0,0,0,14,0,0,0,0,0,0,84,7.0,,camerun-peoples-1
88,Dean Janikowski*,Washington State,Pac-12,13,0,0,0,0,0,0,0,0,42,44,14,17,0,0,84,6.5,,dean-janikowski-1
89,Deandre Torrey*,North Texas,CUSA,12,13,1,0,0,0,0,0,14,0,0,0,0,0,0,84,7.0,,deandre-torrey-1
90,Everett Hayes*,Oregon State,Pac-12,13,0,0,0,0,0,0,0,0,48,48,12,18,0,0,84,6.5,,everett-hayes-1
91,Garrett Shrader,Syracuse,ACC,12,14,0,0,0,0,0,0,14,0,0,0,0,0,0,84,7.0,,garrett-shrader-1
92,Griffin Kell,Texas Christian,Big 12,12,0,0,0,0,0,0,0,0,42,42,14,18,0,0,84,7.0,,griffin-kell-1
93,Leddie Brown*,West Virginia,Big 12,12,13,1,0,0,0,0,0,14,0,0,0,0,0,0,84,7.0,,leddie-brown-1
94,Matt Ruffolo*,Kentucky,SEC,13,0,0,0,0,0,0,0,0,54,56,10,13,0,0,84,6.5,,matt-ruffolo-1
95,Noel Ruiz*,Georgia State,Sun Belt,13,0,0,0,0,0,0,0,0,45,47,13,15,0,0,84,6.5,,noel-ruiz-1
96,Sean Tucker,Syracuse,ACC,12,12,2,0,0,0,0,0,14,0,0,0,0,0,0,84,7.0,,sean-tucker-2
97,Nate Needham,Bowling Green,MAC,12,0,0,0,0,0,0,0,0,26,27,19,20,0,0,83,6.9,,nate-needham-2
98,Jordan Stout*,Penn State,Big Ten,13,0,0,0,0,0,0,0,0,34,36,16,23,0,0,82,6.3,,jordan-stout-2
99,Matthew Quinn*,UAB,CUSA,13,0,0,0,0,0,0,0,0,49,50,11,16,0,0,82,6.3,,matthew-quinn-2
100,Cesar R. Silva*,Fresno State,MWC,10,0,0,0,0,0,0,0,0,33,34,16,20,0,0,81,8.1,,cesar-r-silva-1
101,Graham Nicholson*,Miami (OH),MAC,13,0,0,0,0,0,0,0,0,36,40,15,20,0,0,81,6.2,,graham-nicholson-1
102,Adrian Martinez,Nebraska,Big Ten,11,13,0,0,0,0,0,0,13,0,0,0,0,1,0,80,7.3,,adrian-martinez-2
103,Isaiah Neyor*,Wyoming,MWC,13,1,12,0,0,0,0,0,13,0,0,0,0,1,0,80,6.2,,isaiah-neyor-1
104,Jahan Dotson*,Penn State,Big Ten,12,1,12,0,0,0,0,0,13,0,0,0,0,1,0,80,6.7,,jahan-dotson-1
105,James McCourt,Illinois,Big Ten,12,0,0,0,0,0,0,0,0,26,26,18,23,0,0,80,6.7,,james-mccourt-1
106,Jayden Reed*,Michigan State,Big Ten,13,1,10,2,0,0,0,0,13,0,0,0,0,1,0,80,6.2,,jayden-reed-1
107,Zach Charbonnet,UCLA,Pac-12,12,13,0,0,0,0,0,0,13,0,0,0,0,1,0,80,6.7,,zach-charbonnet-1
108,Ethan Albertson,New Mexico State,Ind,12,0,0,0,0,0,0,0,0,28,30,17,22,0,0,79,6.6,,ethan-albertson-1
109,B.J. Baylor*,Oregon State,Pac-12,13,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6.0,,bj-baylor-1
110,Brad Roberts*,Air Force,MWC,13,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6.0,,brad-roberts-1
111,Chris Olave*,Ohio State,Big Ten,12,0,13,0,0,0,0,0,13,0,0,0,0,0,0,78,6.5,,chris-olave-1
112,DeWayne McBride*,UAB,CUSA,13,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6.0,,dewayne-mcbride-1
113,Garrett Wilson*,Ohio State,Big Ten,11,1,12,0,0,0,0,0,13,0,0,0,0,0,0,78,7.1,,garrett-wilson-2
114,Jakobi Buchanan*,Army,Ind,14,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,5.6,,jakobi-buchanan-1
115,Jalen Cropper*,Fresno State,MWC,13,2,11,0,0,0,0,0,13,0,0,0,0,0,0,78,6.0,,jalen-cropper-1
116,Joseph Petrino*,Maryland,Big Ten,13,0,0,0,0,0,0,0,0,39,44,13,20,0,0,78,6.0,,joseph-petrino-1
117,Kennedy Brooks*,Oklahoma,Big 12,13,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6.0,,kennedy-brooks-1
118,Malik Willis*,Liberty,Ind,13,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6.0,,malik-willis-1
119,Parker White*,South Carolina,SEC,12,0,0,0,0,0,0,0,0,30,30,16,17,0,0,78,6.5,,parker-white-2
120,Samson Evans*,Eastern Michigan,MAC,12,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6.5,,samson-evans-1
121,Sean Tyler*,Western Michigan,MAC,13,9,2,0,2,0,0,0,13,0,0,0,0,0,0,78,6.0,,sean-tyler-1
122,Shermari Jones*,Coastal Carolina,Sun Belt,11,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,7.1,,shermari-jones-1
123,Snoop Conner*,Ole Miss,SEC,13,13,0,0,0,0,0,0,13,0,0,0,0,0,0,78,6.0,,snoop-conner-1
124,Anders Carlson*,Auburn,SEC,10,0,0,0,0,0,0,0,0,35,36,14,21,0,0,77,7.7,,anders-carlson-1
125,Daniel Obarski*,UCF,American,13,0,0,0,0,0,0,0,0,53,54,8,14,0,0,77,5.9,,daniel-obarski-1
126,Matt Coghlin*,Michigan State,Big Ten,12,0,0,0,0,0,0,0,0,41,41,12,19,0,0,77,6.4,,matt-coghlin-1
127,Seth Keller,Texas State,Sun Belt,12,0,0,0,0,0,0,0,0,32,32,15,18,0,0,77,6.4,,seth-keller-1
128,Alex McNulty,Buffalo,MAC,12,0,0,0,0,0,0,0,0,37,37,13,21,0,0,76,6.3,,alex-mcnulty-1
129,Calum Sutherland,Louisiana-Monroe,Sun Belt,12,0,0,0,0,0,0,0,0,27,28,16,21,0,0,75,6.3,,calum-sutherland-1
130,Calvin Turner,Hawaii,MWC,13,8,4,0,0,0,0,0,12,0,0,0,0,1,0,74,5.7,,calvin-turner-2
131,Charlie Ham,Duke,ACC,11,0,0,0,0,0,0,0,0,32,32,14,20,0,0,74,6.7,,charlie-ham-1
132,Cole Talley*,Army,Ind,14,0,0,0,0,0,0,0,0,47,49,9,13,0,0,74,5.3,,cole-talley-1
133,Dylan McDuffie,Buffalo,MAC,12,11,1,0,0,0,0,0,12,0,0,0,0,1,0,74,6.2,,dylan-mcduffie-1
134,Haaziq Daniels*,Air Force,MWC,12,11,0,0,0,0,0,0,11,0,0,0,0,1,0,74,6.2,,haaziq-daniels-1
135,Isaiah Likely*,Coastal Carolina,Sun Belt,13,0,12,0,0,0,0,0,12,0,0,0,0,1,0,74,5.7,,isaiah-likely-1
136,Zeke Rankin*,Middle Tennessee State,CUSA,13,0,0,0,0,0,0,0,0,44,45,10,14,0,0,74,5.7,,zeke-rankin-1
137,Bijan Nichols,Navy,American,12,0,0,0,0,0,0,0,0,28,28,15,19,0,0,73,6.1,,bijan-nichols-1
138,Daniel Gutierrez,Nevada-Las Vegas,MWC,12,0,0,0,0,0,0,0,0,25,25,16,18,0,0,73,6.1,,daniel-gutierrez-1
139,Ethan Mooney*,North Texas,CUSA,12,0,0,0,0,0,0,0,0,40,40,11,13,0,0,73,6.1,,ethan-mooney-1
140,Parker Lewis,USC,Pac-12,10,0,0,0,0,0,0,0,0,22,23,17,22,0,0,73,7.3,,parker-lewis-1
141,Abram Smith*,Baylor,Big 12,14,12,0,0,0,0,0,0,12,0,0,0,0,0,0,72,5.1,,abram-smith-1
142,Blake Corum*,Michigan,Big Ten,12,11,1,0,0,0,0,0,12,0,0,0,0,0,0,72,6.0,,blake-corum-1
143,Braelon Allen*,Wisconsin,Big Ten,12,12,0,0,0,0,0,0,12,0,0,0,0,0,0,72,6.0,,braelon-allen-1
144,Cedric Tillman*,Tennessee,SEC,13,0,12,0,0,0,0,0,12,0,0,0,0,0,0,72,5.5,,cedric-tillman-1
145,Christopher Rodriguez Jr.*,Kentucky,SEC,13,9,3,0,0,0,0,0,12,0,0,0,0,0,0,72,5.5,,christopher-rodriguez-jr-1
146,Justin Hall*,Ball State,MAC,11,6,5,0,1,0,0,0,12,0,0,0,0,0,0,72,6.5,,justin-hall-3
147,Matthew Mercurio,San Jose State,MWC,12,0,0,0,0,0,0,0,0,27,28,15,19,0,0,72,6.0,,matthew-mercurio-1
148,Max Borghi*,Washington State,Pac-12,12,12,0,0,0,0,0,0,12,0,0,0,0,0,0,72,6.0,,max-borghi-1
149,Montrell Johnson*,Louisiana,Sun Belt,14,12,0,0,0,0,0,0,12,0,0,0,0,0,0,72,5.1,,montrell-johnson-1
150,Nathaniel Dell*,Houston,American,14,0,12,0,0,0,0,0,12,0,0,0,0,0,0,72,5.1,,nathaniel-dell-1
151,Stephen Johnson,Ohio,MAC,11,0,0,0,0,0,0,0,0,24,26,16,23,0,0,72,6.5,,stephen-johnson-9
152,Treylon Burks*,Arkansas,SEC,12,1,11,0,0,0,0,0,12,0,0,0,0,0,0,72,6.0,,treylon-burks-1
153,Xavier Worthy,Texas,Big 12,12,0,12,0,0,0,0,0,12,0,0,0,0,0,0,72,6.0,,xavier-worthy-1
154,Zakhari Franklin*,UTSA,CUSA,13,0,12,0,0,0,0,0,12,0,0,0,0,0,0,72,5.5,,zakhari-franklin-1
155,Zamir White*,Georgia,SEC,15,11,0,1,0,0,0,0,12,0,0,0,0,0,0,72,4.8,,zamir-white-1
156,Jadon Redding*,Utah,Pac-12,12,0,0,0,0,0,0,0,0,41,43,10,14,0,0,71,5.9,,jadon-redding-1
157,John Hoyland*,Wyoming,MWC,13,0,0,0,0,0,0,0,0,40,40,10,14,0,0,70,5.4,,john-hoyland-1
158,Jonathan Cruz,Charlotte,CUSA,12,0,0,0,0,0,0,0,0,40,41,10,15,0,0,70,5.8,,jonathan-cruz-1
159,Diego Guajardo,South Alabama,Sun Belt,12,0,0,0,0,0,0,0,0,33,35,12,17,0,0,69,5.8,,diego-guajardo-1
160,Jake Oldroyd*,BYU,Ind,10,0,0,0,0,0,0,0,0,42,43,9,13,0,0,69,6.9,,jake-oldroyd-1
161,Derek Wright*,Utah State,MWC,14,0,11,0,0,0,0,0,11,0,0,0,0,1,0,68,4.9,,derek-wright-2
162,Matt Corral*,Ole Miss,SEC,13,11,0,0,0,0,0,0,11,0,0,0,0,1,0,68,5.2,H-7,matt-corral-1
163,Romeo Doubs*,Nevada,MWC,11,0,11,0,0,0,0,0,11,0,0,0,0,1,0,68,6.2,,romeo-doubs-1
164,Sam Hartman*,Wake Forest,ACC,14,11,0,0,0,0,0,0,11,0,0,0,0,1,0,68,4.9,,sam-hartman-1
165,Spencer Shrader,South Florida,American,12,0,0,0,0,0,0,0,0,35,35,11,13,0,0,68,5.7,,spencer-shrader-1
166,Brendan Farrell,Virginia,ACC,9,0,0,0,0,0,0,0,0,34,34,11,13,0,0,67,7.4,,brendan-farrell-1
167,Cole Becker,Colorado,Pac-12,12,0,0,0,0,0,0,0,0,25,25,14,20,0,0,67,5.6,,cole-becker-2
168,Massimo Biscardi*,Coastal Carolina,Sun Belt,10,0,0,0,0,0,0,0,0,46,48,7,8,0,0,67,6.7,,massimo-biscardi-1
169,Ryan Fitzgerald,Florida State,ACC,12,0,0,0,0,0,0,0,0,37,40,10,13,0,0,67,5.6,,ryan-fitzgerald-1
170,Brandon Bowling*,Utah State,MWC,14,0,10,0,1,0,0,0,11,0,0,0,0,0,0,66,4.7,,brandon-bowling-1
171,Brandon Johnson*,UCF,American,13,0,11,0,0,0,0,0,11,0,0,0,0,0,0,66,5.1,,brandon-johnson-11
172,David Bailey,Colorado State,MWC,11,9,2,0,0,0,0,0,11,0,0,0,0,0,0,66,6.0,,david-bailey-4
173,Devon Achane,Texas A&M,SEC,12,9,1,0,1,0,0,0,11,0,0,0,0,0,0,66,5.5,,devon-achane-1
174,James Cook*,Georgia,SEC,15,7,4,0,0,0,0,0,11,0,0,0,0,0,0,66,4.4,,james-cook-2
175,Jaylan Knighton,Miami (FL),ACC,8,8,3,0,0,0,0,0,11,0,0,0,0,0,0,66,8.3,,jaylan-knighton-1
176,Jaylen Warren*,Oklahoma State,Big 12,14,11,0,0,0,0,0,0,11,0,0,0,0,0,0,66,4.7,,jaylen-warren-1
177,Kyle Philips,UCLA,Pac-12,11,0,10,1,0,0,0,0,11,0,0,0,0,0,0,66,6.0,,kyle-philips-4
178,Marquez Cooper*,Kent State,MAC,14,11,0,0,0,0,0,0,11,0,0,0,0,0,0,66,4.7,,marquez-cooper-1
179,Mataeo Durant,Duke,ACC,12,9,2,0,0,0,0,0,11,0,0,0,0,0,0,66,5.5,,mataeo-durant-1
180,Sam Howell*,North Carolina,ACC,12,11,0,0,0,0,0,0,11,0,0,0,0,0,0,66,5.5,,sam-howell-1
181,Tay Martin*,Oklahoma State,Big 12,13,1,10,0,0,0,0,0,11,0,0,0,0,0,0,66,5.1,,tay-martin-1
182,Valentino Ambrosio*,Rutgers,Big Ten,12,0,0,0,0,0,0,0,0,30,31,12,16,0,0,66,5.5,,valentino-ambrosio-1
183,Will Shipley*,Clemson,ACC,10,11,0,0,0,0,0,0,11,0,0,0,0,0,0,66,6.6,,will-shipley-1
184,Brent Cimaglia,Georgia Tech,ACC,10,0,0,0,0,0,0,0,0,31,33,11,15,0,0,64,6.4,,brent-cimaglia-1
185,Cristian Zendejas*,Arizona State,Pac-12,12,0,0,0,0,0,0,0,0,40,41,8,11,0,0,64,5.3,,cristian-zendejas-1
186,Dario Longhetto,California,Pac-12,11,0,0,0,0,0,0,0,0,31,31,11,14,0,0,64,5.8,,dario-longhetto-1
187,Andre Szmyt,Syracuse,ACC,12,0,0,0,0,0,0,0,0,36,38,9,14,0,0,63,5.3,,andre-szmyt-1
188,Calvin Austin III,Memphis,American,12,1,8,1,0,0,0,0,10,0,0,0,0,1,0,62,5.2,,calvin-austin-iii-1
189,Cole Turner*,Nevada,MWC,11,0,10,0,0,0,0,0,10,0,0,0,0,1,0,62,5.6,,cole-turner-2
190,Brennan Armstrong,Virginia,ACC,11,9,1,0,0,0,0,0,10,0,0,0,0,0,0,60,5.5,,brennan-armstrong-1
191,Chris Smith*,Louisiana,Sun Belt,13,8,1,0,0,0,0,0,9,0,0,0,0,0,0,60,4.6,,chris-smith-22
192,Christian Anderson*,Army,Ind,12,9,0,0,0,0,0,0,9,0,0,0,0,0,0,60,5.0,,christian-anderson-2
193,Corey Rucker,Arkansas State,Sun Belt,12,1,9,0,0,0,0,0,10,0,0,0,0,0,0,60,5.0,,corey-rucker-1
194,De'Montre Tuggle,Ohio,MAC,12,7,2,0,1,0,0,0,10,0,0,0,0,0,0,60,5.0,,demontre-tuggle-1
195,Deven Thompkins*,Utah State,MWC,14,0,10,0,0,0,0,0,10,0,0,0,0,0,0,60,4.3,,deven-thompkins-1
196,Gerrit Prince*,UAB,CUSA,13,0,10,0,0,0,0,0,10,0,0,0,0,0,0,60,4.6,,gerrit-prince-1
197,Jack Sorenson*,Miami (OH),MAC,13,0,10,0,0,0,0,0,10,0,0,0,0,0,0,60,4.6,,jack-sorenson-1
198,JaCorey Sullivan*,Central Michigan,MAC,11,0,10,0,0,0,0,0,10,0,0,0,0,0,0,60,5.5,,jacorey-sullivan-1
199,Jordan Mims*,Fresno State,MWC,13,6,4,0,0,0,0,0,10,0,0,0,0,0,0,60,4.6,,jordan-mims-1
200,Juwuan Price,New Mexico State,Ind,12,10,0,0,0,0,0,0,10,0,0,0,0,0,0,60,5.0,,juwuan-price-1
201,Keaton Mitchell,East Carolina,American,12,9,1,0,0,0,0,0,10,0,0,0,0,0,0,60,5.0,,keaton-mitchell-1
