first_name,last_name,suffix,Class,Pos,college_name,year
Andrew,Brinson,IV,SO,DB,Michigan State,2024
John,Howse,IV,SR,S,Middle Tennessee State,2024
James,Shellman,IV,SR,CB,Middle Tennessee State,2024
Albert,Reese,IV,SR,OL,Mississippi State,2024
Willis,McGahee,IV,SO,LB,Nebraska,2024
DJ,Gordon,IV,SR,LB,South Florida,2024
George,Brown,IV,SO,DB,South Florida,2024
Dallas,Walker,IV,SR,DL,Western Kentucky,2024
Malcom,DeWalt,IV,SR,DB,Akron,2024
Curlee,Thomas,IV,JR,DL,California,2024
Lawrence,Wright,IV,SO,QB,Florida,2024
Troy,Stevenson,IV,SO,DB,Georgia Tech,2024
Joseph,Manjack,IV,SR,WR,Houston,2024
TJ,Crews,IV,SO,QB,Kansas,2024
Hardley,Gilmore,IV,SO,WR,Kentucky,2024
Wallace,Foster,IV,SO,CB,LSU,2024
Maxie,Baudoin,IV,SR,DL,Louisiana,2024
Frank,Covey,IV,SO,WR,Northwestern,2024
Ulysses,Bentley,IV,SR,RB,Ole Miss,2024
Melvin,Jordan,IV,JR,LB,Oregon State,2024
Larry,DeBose,IV,SO,RB,Rice,2024
Ed,Smith,IV,SR,DL,South Alabama,2024
William,Felton,IV,SO,LB,South Alabama,2024
Sammy,Morris,IV,SR,DB,Texas Tech,2024
Robert,Freeman,IV,SR,WR,Utah State,2024
Johnny,Williams,IV,SO,OL,West Virginia,2024
Hammond,Russell,IV,SR,DL,West Virginia,2024
Jacob,De,Jesus,SR,WR,Nevada-Las Vegas,2024
Parker,St.,John,SR,WR,Air Force,2024
Jalen,St.,John,SR,OL,Nevada-Las Vegas,2024
Garvin,St.,John,SO,LB,Syracuse,2024
Tanner,Duke,Johnson,JR,S,Mississippi State,2024
"\"Fred","\"\"JayR\"\"","Johnson\"",SO,LB,South Carolina,2024
Ny'Len,Ramon,Jones,SR,LB,Old Dominion,2024
Ray,Ray,Joseph,JR,WR,Miami (FL),2024
Jean,Claude,Joseph,JR,LB,Tulane,2024
Eric,Brantley,Jr,SO,DL,Florida Atlantic,2024
Quentis,Griffin,Jr,JR,OL,Louisiana-Monroe,2024
Anthony,Dunn,Jr,SR,DL,Toledo,2024
Carlos,Mitchell,Jr,SO,CB,Western Michigan,2024
Lukia,"Rawls,",Jr.,JR,DL,Air Force,2024
Jerome,Gaillard,Jr.,SR,DB,Air Force,2024
Jay,Loper,Jr.,SR,WR,Alabama,2024
Damon,Payne,Jr.,SR,DL,Alabama,2024
Dre,Kirkpatrick,Jr.,SO,DB,Alabama,2024
Tyrell,Reed,Jr.,JR,RB,Arkansas,2024
Stephen,Dix,Jr.,SR,LB,Arkansas,2024
Xavian,Sorey,Jr.,SR,LB,Arkansas,2024
Fernando,Carmona,Jr.,SR,OT,Arkansas,2024
Quincy,Rhodes,Jr.,JR,DE,Arkansas,2024
Corey,Singleton,Jr.,JR,RB,Army,2024
Larry,Pickett,Jr.,SO,S,Army,2024
