first_name,last_name,suffix,Class,Pos,college_name,year
Anthony,Holmes,Jr.,JR,DL,Houston,2024
Corey,Platt,Jr.,JR,LB,Houston,2024
Dennis,Briggs,Jr.,SR,DL,Illinois,2024
Torrie,Cox,Jr.,SR,DB,Illinois,2024
Omar,Cooper,Jr.,JR,WR,Indiana,2024
Marcus,Burris,Jr.,SR,DL,Indiana,2024
DJ,Warnell,Jr.,SR,S,Indiana,2024
Terrell,Washington,Jr.,SO,RB,Iowa,2024
Rashad,Godfrey,Jr.,SO,DB,Iowa,2024
Ryan,Robinson,Jr.,SO,DB,Iowa State,2024
Tar'Varish,Dawson,Jr.,JR,WR,Jacksonville State,2024
Travis,Franklin,Jr.,SO,S,Jacksonville State,2024
Curley,Young,Jr.,SR,DE,Jacksonville State,2024
Daniel,Hishaw,Jr.,SR,RB,Kansas,2024
Johnny,Thompson,Jr.,SO,RB,Kansas,2024
Michael,Ford,Jr.,SR,OL,Kansas,2024
Tommy,Dunn,Jr.,SR,DL,Kansas,2024
Terry,Kirksey,Jr.,SR,LB,Kansas State,2024
Marlo,East,Jr.,FR,DL,Kennesaw State,2024
JeRico,Washington,Jr.,FR,DB,Kennesaw State,2024
Kevin,Toth,Jr.,SR,OL,Kent State,2024
David,Washington,Jr.,SO,WR,Kentucky,2024
Marc,Nave,Jr.,SO,OL,Kentucky,2024
Alex,Afari,Jr.,SR,LB,Kentucky,2024
Steven,Soles,Jr.,SO,LB,Kentucky,2024
John,Emery,Jr.,SR,RB,LSU,2024
Chris,Hilton,Jr.,SR,WR,LSU,2024
Khayree,Lee,Jr.,SO,OL,LSU,2024
Michael,Turner,Jr.,SO,CB,LSU,2024
Craig,Walton,Jr.,SO,CB,LSU,2024
Donte,Lee,Jr.,JR,WR,Liberty,2024
Victor,Jones,Jr.,JR,WR,Liberty,2024
Jerome,Jolly,Jr.,SR,LB,Liberty,2024
CJ,Bazile,Jr.,SR,DE,Liberty,2024
Ronald,"Moore,",Jr.,SO,S,Liberty,2024
Dexter,Ricks,Jr.,JR,CB,Liberty,2024
Charles,Yates,Jr.,SR,CB,Liberty,2024
Djay,Williams,Jr.,SO,OL,Louisiana,2024
Fitzgerald,West,Jr.,JR,DL,Louisiana,2024
Tyrone,Lewis,Jr.,SR,S,Louisiana,2024
Tamarcus,Gray,Jr.,SO,WR,Louisiana Tech,2024
Alonzo,Jackson,Jr.,SO,LB,Louisiana Tech,2024
Roderick,Roberson,Jr.,SR,DB,Louisiana Tech,2024
Jhamal,Shelby,Jr.,JR,DB,Louisiana Tech,2024
Carl,Fauntroy,Jr.,SR,DB,Louisiana-Monroe,2024
Wydett,"Williams,",Jr.,SR,DB,Louisiana-Monroe,2024
David,Godsey,Jr.,SR,CB,Louisiana-Monroe,2024
Donald,Chaney,Jr.,SR,RB,Louisville,2024
Adam,Vinatieri,Jr.,SO,K,Louisville,2024
Moses,Gray,Jr.,SO,RB,Marshall,2024
Chris,Thomas,Jr.,SR,DL,Marshall,2024
Gary,Jones,Jr.,SO,LB,Marshall,2024
Anthony,"Richard,",Jr.,JR,CB,Marshall,2024
Billy,Edwards,Jr.,SR,QB,Maryland,2024
Octavian,Smith,Jr.,SR,WR,Maryland,2024
Robert,Smith,Jr.,SR,WR,Maryland,2024
Ricardo,Cooper,Jr.,JR,WR,Maryland,2024
Leon,Haughton,Jr.,SR,TE,Maryland,2024
Andre,Roye,Jr.,SR,OL,Maryland,2024
Frank,Ladson,Jr.,SR,WR,Massachusetts,2024
Benjamin,Roy,Jr.,SR,OL,Massachusetts,2024
Jermaine,Wiggins,Jr.,JR,DL,Massachusetts,2024
Jerrod,Cameron,Jr.,JR,CB,Massachusetts,2024
Steven,Ortiz,Jr.,SR,CB,Massachusetts,2024
Mario,Robinson,Jr.,SO,RB,Memphis,2024
Patrick,Lucas,Jr.,SR,DL,Memphis,2024
William,Whitlow,Jr.,SR,DL,Memphis,2024
Marcus,Lee,Jr.,JR,DB,Memphis,2024
Shawn,Pepp,Jr.,SR,DB,Memphis,2024
Cameron,Upshaw,Jr.,JR,DB,Memphis,2024
Andres,Miyares,Jr.,SO,QB,North Carolina,2024
Kevin,Hester,Jr.,SR,DL,North Carolina,2024
Asaad,"Brown,",Jr.,SO,RB,North Carolina State,2024
Anthony,Carter,Jr.,SR,OL,North Carolina State,2024
Corey,Coley,Jr.,SR,DB,North Carolina State,2024
Kerry,Martin,Jr.,SR,S,North Carolina State,2024
Brandon,Young,Jr.,SO,TE,North Texas,2024
BJ,Allen,Jr.,JR,S,North Texas,2024
Chris,Gant,Jr.,SO,S,North Texas,2024
Sultan,El-Amin,Jr.,SO,CB,North Texas,2024
Telly,Johnson,Jr.,SO,RB,Northern Illinois,2024
Rickey,Taylor,Jr.,SO,WR,Northern Illinois,2024
Ivan,Moore,Jr.,SO,DE,Northern Illinois,2024
Kenny,Soares,Jr.,JR,LB,Northwestern,2024
Tito,Williams,Jr.,SO,DB,Northwestern,2024
Sean,Sevillano,Jr.,SO,DL,Notre Dame,2024
Aginon,Wilson,Jr.,SO,RB,Ohio,2024
Adonis,Williams,Jr.,SR,S,Ohio,2024
Gee,Scott,Jr.,SR,TE,Ohio State,2024
Will,Smith,Jr.,JR,DL,Ohio State,2024
Keenan,Nelson,Jr.,JR,DB,Ohio State,2024
Jermaine,Matthews,Jr.,JR,CB,Ohio State,2024
Aaron,Scott,Jr.,SO,CB,Ohio State,2024
Lorenzo,Styles,Jr.,SR,CB,Ohio State,2024
Michael,Hawkins,Jr.,SO,QB,Oklahoma,2024
Rodney,Fields,Jr.,SO,RB,Oklahoma State,2024
Marcus,Dockins,Jr.,JR,WR,Oklahoma State,2024
Jason,Brooks,Jr.,SR,OL,Oklahoma State,2024
Jacobi,Oliphant,Jr.,SO,CB,Oklahoma State,2024
Tywon,Wray,Jr.,SO,S,Oklahoma State,2024
Ricardo,Williams,Jr.,SR,DL,Old Dominion,2024
Angelo,Rankin,Jr.,SR,DB,Old Dominion,2024
Henry,Parrish,Jr.,SR,RB,Ole Miss,2024
Antwane,Wells,Jr.,SR,WR,Ole Miss,2024
Chris,Paul,Jr.,SR,LB,Ole Miss,2024
Mark,Trigg,Jr.,SO,LB,Ole Miss,2024
Chris,Graves,Jr.,JR,CB,Ole Miss,2024
DeeJay,Holmes,Jr.,SO,DE,Ole Miss,2024
John,Saunders,Jr.,SR,S,Ole Miss,2024
Gary,Bryant,Jr.,SR,WR,Oregon,2024
Josh,Conerly,Jr.,SR,OL,Oregon,2024
Cornell,Hatcher,Jr.,SO,RB,Oregon State,2024
David,Wells,Jr.,SO,WR,Oregon State,2024
Montrel,Hatten,Jr.,JR,WR,Oregon State,2024
Tyrice,Ivy,Jr.,SR,DB,Oregon State,2024
Derrick,Davis,Jr.,SR,RB,Pitt,2024
Rodney,Hammond,Jr.,SR,RB,Pitt,2024
Terrence,Enos,Jr.,SR,OL,Pitt,2024
Jaremiah,Anglin,Jr.,SO,DB,Pitt,2024
John,Randle,Jr.,SO,OL,Purdue,2024
Joshua,Sales,Jr.,SR,OL,Purdue,2024
Derrick,Rogers,Jr.,JR,DB,Purdue,2024
Justin,Williams,Jr.,SO,WR,Rice,2024
Elroyal,Morris,Jr.,SR,DL,Rice,2024
Kenny,Seymour,Jr.,SR,LB,Rice,2024
Jacquis,Ishmeal,Jr.,JR,LB,Sam Houston,2024
Chris,Holifield,Jr.,SR,WR,South Alabama,2024
Stacey,Boykins,Jr.,SO,WR,South Alabama,2024
RJ,Moss,Jr.,SO,DL,South Alabama,2024
Maurice,Strong,Jr.,SR,DL,South Alabama,2024
Christopher,Wallace,Jr.,SR,DB,South Alabama,2024
Rickey,Hyatt,Jr.,SR,S,South Alabama,2024
Lardarius,Webb,Jr.,SR,S,South Alabama,2024
Mazeo,Bennett,Jr.,SO,WR,South Carolina,2024
Jamian,Risher,Jr.,JR,LB,South Carolina,2024
Bryan,Thomas,Jr.,SR,DE,South Carolina,2024
Chris,Davis,Jr.,SO,RB,Stanford,2024
Michael,Johnson,Jr.,SR,QB,Syracuse,2024
Darrell,Gill,Jr.,JR,WR,Syracuse,2024
Enrique,Cruz,Jr.,SR,OL,Syracuse,2024
David,Wohlabaugh,Jr.,SR,OL,Syracuse,2024
Denis,Jaquez,Jr.,SR,DL,Syracuse,2024
Kevin,Jobity,Jr.,SR,DL,Syracuse,2024
Dion,Wilson,Jr.,SR,DL,Syracuse,2024
James,Heard,Jr.,SO,LB,Syracuse,2024
Jahide,Lesaine,Jr.,SO,LB,Syracuse,2024
Marcellus,Barnes,Jr.,SO,DB,Syracuse,2024
Braheem,Long,Jr.,SO,DB,Syracuse,2024
Marcus,Washington,Jr.,JR,DB,Syracuse,2024
Eric,Wilson,Jr.,SR,RB,Temple,2024
Allan,Haye,Jr.,SR,DT,Temple,2024
John,Campbell,Jr.,SR,OL,Tennessee,2024
James,Pearce,Jr.,SR,DL,Tennessee,2024
Marcus,Goree,Jr.,SO,DB,Tennessee,2024
DeAndre,Moore,Jr.,JR,WR,Texas,2024
Kelvin,Banks,Jr.,SR,OL,Texas,2024
Brooks,Kieschnick,Jr.,JR,OL,Texas,2024
Anthony,Hill,Jr.,JR,LB,Texas,2024
Morice,Blackwell,Jr.,SR,DB,Texas,2024
Derek,Williams,Jr.,JR,DB,Texas,2024
Martrell,Harris,Jr.,SR,LB,Texas A&M,2024
Danny,Lockhart,Jr.,SR,LB,Texas A&M,2024
Jevon,McIver,Jr.,SR,CB,Texas Christian,2024
Torrance,Burgess,Jr.,SR,RB,Texas State,2024
Chris,Dawn,Jr.,JR,WR,Texas State,2024
Amipeleasi,Langi,Jr.,SR,DL,Texas State,2024
Derick,Mourning,Jr.,SR,LB,Texas State,2024
Alonzo,Edwards,Jr.,SR,CB,Texas State,2024
Jermy,Jackson,Jr.,SO,DE,Texas State,2024
LJ,Johnson,Jr.,SO,WR,Texas Tech,2024
Charles,Anderson,Jr.,SO,LB,Texas Tech,2024
Miquel,Dingle,Jr.,JR,LB,Texas Tech,2024
Quincy,Ledet,Jr.,SR,DT,Texas Tech,2024
Daryl,Barnett,Jr.,SO,WR,Toledo,2024
Allen,"Jones,",Jr.,SR,OL,Toledo,2024
C.J.,Wilson,Jr.,SR,LB,Toledo,2024
Doran,Ray,Jr.,SR,DT,Toledo,2024
Sam,Smith,Jr.,SO,S,Toledo,2024
DeWhitt,Betterson,Jr.,JR,RB,Troy,2024
Zycarl,Lewis,Jr.,SO,WR,Tulane,2024
Eric,Hicks,Jr.,SR,DL,Tulane,2024
Mandel,Eugene,Jr.,SR,LB,Tulane,2024
BJ,Hawkins,Jr.,SR,WR,UAB,2024
Jason,Riles,Jr.,SR,LB,UAB,2024
Everett,Roussaw,Jr.,JR,LB,UAB,2024
Phillip,Davison,Jr.,SO,LB,UAB,2024
Keon,Handley,Jr.,JR,S,UAB,2024
Randy,Pittman,Jr.,JR,TE,UCF,2024
Troy,Ford,Jr.,SO,LB,UCF,2024
Cedrick,Hawkins,Jr.,SO,DB,UCF,2024
Rico,Flores,Jr.,JR,WR,UCLA,2024
Joseph,Firebaugh,Jr.,SR,K,UCLA,2024
Anthony,Beavers,Jr.,SR,S,USC,2024
Jarvis,Boatwright,Jr.,SO,S,USC,2024
John,Randle,Jr.,JR,CB,Utah,2024
Herschel,Turner,Jr.,SO,RB,Utah State,2024
EJ,Fisk,Jr.,SR,CB,Utah State,2024
Davis,Lane,Jr.,SR,RB,Virginia,2024
Andre,Greene,Jr.,JR,WR,Virginia,2024
Sackett,Wood,Jr.,SR,TE,Virginia,2024
Kevin,Chadwick,Jr.,JR,DB,Virginia,2024
Chico,Bennett,Jr.,SR,DE,Virginia,2024
Corey,Thomas,Jr.,SR,S,Virginia,2024
Micah,Mays,Jr.,SO,WR,Wake Forest,2024
Chris,Marable,Jr.,SO,DL,Wake Forest,2024
William,Tackie,Jr.,SO,DB,Wake Forest,2024
Antonio,Robinson,Jr.,SO,DB,Wake Forest,2024
Demond,Williams,Jr.,SO,QB,Washington,2024
Kevin,Green,Jr.,JR,WR,Washington,2024
Jason,Robinson,Jr.,SO,WR,Washington,2024
Milton,Hopkins,Jr.,SR,LB,Washington,2024
Rahim,Wright,Jr.,SO,S,Washington,2024
Paul,Mencke,Jr.,SO,S,Washington,2024
Leon,Neal,Jr.,SR,WR,Washington State,2024
Warren,Smith,Jr.,SO,DB,Washington State,2024
Corey,McIntyre,Jr.,SO,DL,West Virginia,2024
Curtis,Jones,Jr.,SO,LB,West Virginia,2024
Garnett,Hollis,Jr.,SR,CB,West Virginia,2024
Jason,Cross,Jr.,SO,S,West Virginia,2024
Michael,Gravely,Jr.,SR,S,Western Michigan,2024
CJ,Miles,Jr.,SO,S,Western Michigan,2024
Brandon,Lane,Jr.,SR,DL,Wisconsin,2024
Jamel,Howard,Jr.,JR,DL,Wisconsin,2024
Ernest,Willor,Jr.,SO,DL,Wisconsin,2024
James,Thompson,Jr.,SR,DE,Wisconsin,2024
Jon,Jon,Kamara,SO,LB,Kansas,2024
Landyn,Van,Kekerix,JR,LB,Iowa,2024
Ty,Son,Lawton,SR,RB,Indiana,2024
Gio,De,Leon,SR,LB,Buffalo,2024
Owen,van,Loben,SO,WR,Stanford,2024
Lance,St.,Louis,SR,LS,Texas,2024
Eddie,Lee,Marburger,SR,QB,UTSA,2024
Tautai,Li'O,Marks,SR,OL,Tulsa,2024
D',Sean,Martinez,JR,CB,New Mexico,2024
Jon,Ross,Maye,SR,LB,Utah State,2024
D',Angelo,Mayes,SO,WR,New Mexico,2024
Tyrone,D.,McDuffie,SO,OL,UTEP,2024
William,Grier,McDuffie,SO,LB,Auburn,2024
Sione,I,Moa,SO,RB,BYU,2024
Christian,de,Moor,SO,DL,SMU,2024
Brandon,Lawhorn,Moore,SR,OL,Miami (OH),2024
Ty,Anthony,Morris,JR,LB,Rice,2024
Devan,Van,Ness,SO,LB,Iowa,2024
John,Wayne,Oliver,SO,OL,Ole Miss,2024
Ott,Eric,Ottender,SO,WR,Massachusetts,2024
Jalen,Saint,Paul,SO,WR,Oregon,2024
Billy,Van,Pelt,SR,LB,Boston College,2024
James,Della,Pesca,SR,TE,Temple,2024
John,Paul,Pickens,JR,DB,Arkansas,2024
Fidel,Tau,Pitts,SR,WR,Old Dominion,2024
Riley,Van,Poppel,JR,DL,Nebraska,2024
Djibril,Abdou,Rahman,JR,DL,Rutgers,2024
Scott,Taylor,Renfroe,SR,K,Troy,2024
John,Paul,Richardson,SR,WR,Texas Christian,2024
John,Martin,Richter,SO,DE,Auburn,2024
John,Alan,Richter,JR,QB,Toledo,2024
Carlos,Del,Rio-Wilson,SR,QB,Syracuse,2024
Dante,De,Rosa,SR,LB,Tulane,2024
Magnus,von,Saldern,JR,TE,Massachusetts,2024
Mike,Yoan,Sandjo-Njiki,SR,DT,SMU,2024
Ian,Ver,Steeg,JR,WR,Wake Forest,2024
J.,Michael,Sturdivant,SR,WR,UCLA,2024
R,Mason,Thomas,SR,DL,Oklahoma,2024
"Coleman,",Jr.,Toney,SO,DB,Miami (OH),2024
Jalen,Rashad,Turner,JR,RB,Air Force,2024
Samuel,Brown,V,SR,RB,Rutgers,2024
Stephens,Sings,V,SR,DE,Charlotte,2024
Emmett,Mosley,V,SO,WR,Stanford,2024
Wesley,Campbell,VI,JR,TE,Louisiana-Monroe,2024
Kyson,Van,Vugt,JR,OL,Iowa,2024
Jonathan,Vande,Walle,SO,WR,Iowa State,2024
Michael,Levelle,Watkins,SO,OL,Washington,2024
Jack,Carson,Wentz,JR,LS,Michigan State,2024
Rex,Van,Wyhe,JR,LB,Kansas State,2024
Trenton,Alan,Yowe,SR,DB,Appalachian State,2024
Jax,Van,Zandt,JR,LB,UAB,2024
Reece,Vander,Zee,SO,WR,Iowa,2024
Nate,Van,Zelst,SR,K,Wisconsin,2024
Kellen,Grave,de,SR,P,Navy,2024
Ian,van,der,JR,DL,Bowling Green,2024
Theo,Melin,Ã–hrstrÃ¶m,JR,TE,Texas A&M,2024
