,,,Kicking,,,,,,,Punting,,,Kick Ret,,,,Punt Ret,,,
Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
105,Temple,12,1.8,1.8,100,1.3,1.8,72.7,5.8,6.3,252.9,40.5,3,56.1,18.7,0,1.1,6.6,6.1,0.1
106,Tennessee,13,4.3,4.3,100,1.5,2,76.9,8.9,4.1,179.2,43.9,1.1,22.3,20.7,0,2.1,32.6,15.7,0.1
107,Texas,16,4.1,4.1,100,1,1.6,64,7.1,3.2,130,40.8,0.9,18.4,19.6,0,1.9,19.7,10.5,0.1
108,Texas A&M,13,3.6,3.6,100,1.5,1.8,83.3,8.2,3.6,158.8,43.9,1.2,23.7,20.5,0,1.2,4.5,3.9,0
109,Texas State,13,4.2,4.3,96.4,1.2,1.5,78.9,7.6,3,111.2,37.1,2.1,44.8,21.6,0,1.6,27,16.7,0.1
110,Texas Tech,13,4.1,4.1,100,1.7,1.8,91.7,9.2,3.6,152.5,42.2,3.4,70.9,21,0,0.8,5.2,6.1,0
111,Toledo,13,3.2,3.2,97.6,1.2,1.6,71.4,6.6,4.7,190.4,40.6,2.2,51.8,24.1,0.1,1.7,22.5,13.3,0
112,Troy,12,2.9,3.1,94.6,0.9,1.1,84.6,5.7,3.8,140.5,36.7,1.6,25.5,16.1,0,1,13.3,13.3,0.1
113,Tulane,14,4.1,4.4,93.5,0.9,1.3,72.2,6.9,3,128.3,42.8,2.1,49.7,24,0.1,0.9,4.4,5.1,0
114,Tulsa,12,2.8,2.9,97.1,0.8,1.3,66.7,5.3,5.9,252.2,42.6,2.1,59.3,28.4,0.1,1.8,15.8,9,0.1
115,UAB,12,2.6,2.6,100,1.8,2,87.5,7.8,3.5,150.1,42.9,2.5,54.3,21.7,0,1.3,27.4,20.6,0.2
116,UCF,12,3.7,3.8,97.8,0.8,1.3,60,5.9,3.4,147.1,43,1.9,32.1,16.7,0,1.5,14.3,9.5,0
117,UCLA,12,1.8,1.8,100,1.7,2.1,80,6.8,3.6,152.7,42.6,1.3,23.3,18.7,0,0.4,4.7,11.2,0
118,UNLV,14,4.1,4.2,98.3,1.9,2.4,79.4,9.9,3.9,171,43.5,2.1,41.4,20,0.1,2.4,29,11.9,0.1
119,USC,13,3.8,3.8,100,1.1,1.6,66.7,7.1,3.5,165.6,47.8,2.2,49.7,23.1,0,1,5.7,5.7,0
120,Utah,12,2.2,2.2,100,1.6,2.1,76,6.9,5.1,223.3,43.9,1.4,29.3,20.6,0,1.8,10.3,5.6,0.1
121,Utah State,12,3.8,3.9,95.7,0.8,1.3,62.5,6.3,4.6,194.9,42.5,2.1,39.9,19.2,0,1.3,11.6,8.7,0
122,UTEP,12,2.3,2.3,100,0.8,1.5,55.6,4.8,5.7,208.2,36.7,2,41.3,20.7,0.1,1.4,25.9,18.3,0.1
123,UTSA,13,3.6,3.7,97.9,1.8,2.5,75,9.2,4.3,173.1,40.2,1.2,37.8,32.8,0.2,1.5,6.8,4.6,0
124,Vanderbilt,13,3,3.1,97.5,1.4,1.6,85.7,7.2,3.9,188.5,48,1.5,34.5,23.6,0.1,1.4,20.4,14.7,0.1
125,Virginia,12,2,2,100,1.5,1.8,85.7,6.5,4.8,211.9,43.8,1.6,27,17.1,0,1.6,10,6.3,0
126,Virginia Tech,13,3.2,3.2,100,1.2,1.5,84.2,6.9,4.7,206,43.9,1.7,34.2,20.2,0,2.2,21.7,10.1,0.1
127,Wake Forest,12,3,3,100,1.3,1.7,80,7,4.3,186.3,43,1.5,31.4,20.9,0.1,1.2,19.8,17,0.1
128,Washington,13,2.3,2.4,96.8,1.4,2,69.2,6.5,3.3,138.9,42,1.9,43.4,22.6,0,1,7.2,7.2,0
129,Washington State,13,4.3,4.5,96.6,0.6,1,61.5,6.2,3.2,131.8,41.8,2.1,47.1,22.7,0,1,7.2,7.2,0.1
130,West Virginia,13,3.2,3.2,100,1,1.1,92.9,6.2,2.8,117.7,42.5,1.8,40.8,22.1,0,1.2,9.5,8.2,0
131,Western Kentucky,14,2.9,2.9,100,1.3,1.4,94.7,6.8,3.9,167.9,42.7,1.9,35.3,19,0,1.1,3.4,3.1,0
132,Western Michigan,13,3.6,3.6,100,1,1.2,81.3,6.6,4,160.5,40.1,3.2,66.4,21,0,1.3,5.2,4,0
133,Wisconsin,12,2.6,2.6,100,1,1.6,63.2,5.6,4.6,207.6,45.3,2.2,53,24.5,0,1.3,8.1,6.1,0
134,Wyoming,12,2.1,2.1,100,1.3,1.6,78.9,5.8,5.5,222.1,40.4,1.8,44.3,25.3,0.1,0.8,2.4,3.2,0
