Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
24,Colorado,6,3.5,3.5,100.0,1.0,1.7,60.0,6.5,5.8,241.2,41.3,2.3,45.7,19.6,0.0,1.8,26.3,14.4,0.2
25,Colorado State,4,2.8,2.8,100.0,1.0,1.8,57.1,5.8,7.0,294.5,42.1,4.8,108.5,22.8,0.0,1.8,16.5,9.4,0.0
26,Duke,11,2.7,2.9,93.8,1.2,1.4,86.7,6.3,4.8,206.9,42.9,3.2,64.0,20.1,0.0,1.6,15.5,9.4,0.1
27,East Carolina,9,3.3,3.4,96.8,1.6,2.3,66.7,8.0,4.7,193.2,41.4,3.4,65.7,19.1,0.1,1.4,21.1,14.6,0.0
28,Eastern Michigan,6,3.0,3.2,94.7,1.8,2.2,84.6,8.5,2.8,124.2,43.8,3.2,49.8,15.7,0.0,1.0,5.8,5.8,0.0
29,Florida,12,4.9,4.9,100.0,1.6,2.0,79.2,9.7,2.4,111.1,46.0,1.2,22.7,19.4,0.0,0.9,11.6,12.6,0.1
30,Florida Atlantic,9,2.2,2.3,95.2,0.9,1.1,80.0,4.9,5.0,220.3,44.1,1.8,36.9,20.8,0.0,1.1,9.9,8.9,0.0
31,Florida International,5,2.2,2.4,91.7,0.6,0.8,75.0,4.0,6.4,284.0,44.4,4.8,135.8,28.3,0.4,1.4,17.2,12.3,0.0
32,Florida State,9,2.9,3.0,96.3,0.9,1.6,57.1,5.6,4.2,184.2,43.6,3.2,67.1,20.8,0.0,0.9,7.3,8.3,0.0
33,Fresno State,6,3.5,4.0,87.5,1.0,1.0,100.0,6.5,4.2,164.0,39.4,3.5,68.2,19.5,0.0,1.2,9.2,7.9,0.0
34,Georgia,10,3.8,3.8,100.0,1.3,1.8,72.2,7.7,3.6,167.7,46.6,2.0,59.4,29.7,0.0,1.7,12.4,7.3,0.0
35,Georgia Southern,13,3.1,3.2,97.6,1.4,1.9,72.0,7.2,4.0,166.7,41.7,1.6,28.4,17.6,0.0,1.5,16.2,10.6,0.2
36,Georgia State,10,3.7,4.0,92.5,1.4,1.7,82.4,7.9,5.2,204.6,39.3,1.0,16.9,16.9,0.0,0.6,2.8,4.7,0.0
37,Georgia Tech,10,2.6,2.9,89.7,0.3,0.8,37.5,3.5,4.8,228.5,47.6,2.1,40.3,19.2,0.0,1.6,6.5,4.1,0.0
38,Hawaii,9,2.9,2.9,100.0,0.9,1.6,57.1,5.6,5.3,228.3,42.8,2.8,64.8,23.3,0.1,1.3,7.1,5.3,0.0
39,Houston,8,3.5,3.5,100.0,1.0,1.4,72.7,6.5,4.8,197.9,41.7,2.1,53.1,25.0,0.1,2.5,46.1,18.5,0.1
40,Illinois,8,2.5,2.5,100.0,0.9,1.4,63.6,5.1,5.4,234.5,43.6,2.9,50.3,17.5,0.0,0.5,4.0,8.0,0.0
41,Indiana,8,3.1,3.1,100.0,1.3,1.4,90.9,6.9,4.9,211.6,43.4,0.8,13.1,17.5,0.0,1.1,9.1,8.1,0.0
42,Iowa,8,3.3,3.4,96.3,1.8,2.4,73.7,8.5,5.0,220.6,44.1,1.5,27.0,18.0,0.0,2.9,27.9,9.7,0.1
43,Iowa State,12,4.0,4.2,96.0,1.1,1.6,68.4,7.3,3.9,159.5,40.7,1.8,46.9,26.8,0.0,0.9,4.9,5.4,0.0
44,Kansas,9,1.1,1.1,100.0,0.7,1.0,66.7,3.1,7.7,294.9,38.5,5.2,115.9,22.2,0.2,0.4,-0.6,-1.3,0.0
45,Kansas State,10,3.0,3.0,100.0,1.2,1.7,70.6,6.6,5.2,207.9,40.0,3.4,59.3,17.4,0.0,1.4,30.9,22.1,0.2
46,Kent State,4,6.3,6.5,96.2,1.0,1.5,66.7,9.3,2.3,89.8,39.9,3.0,53.3,17.8,0.0,0.8,2.5,3.3,0.0
47,Kentucky,11,2.5,2.5,96.4,1.2,1.4,86.7,6.0,4.7,215.6,45.6,1.5,27.1,18.6,0.0,0.5,5.6,10.3,0.0
48,Liberty,11,4.6,4.9,94.4,1.2,1.8,65.0,8.2,2.4,98.9,41.8,1.8,38.5,21.2,0.0,1.5,16.1,11.1,0.1
49,Louisiana,11,4.0,4.2,95.7,0.9,1.4,66.7,6.7,3.3,142.5,43.5,3.2,73.6,23.1,0.2,2.1,15.5,7.4,0.1
50,Louisiana Tech,10,3.3,3.3,100.0,1.2,1.4,85.7,6.9,5.4,201.0,37.2,4.3,85.4,19.9,0.0,0.9,17.7,19.7,0.0
51,Louisiana-Monroe,10,1.5,2.0,75.0,0.2,0.5,40.0,2.1,5.1,199.7,39.2,4.2,75.8,18.0,0.0,0.6,3.0,5.0,0.0
52,Louisville,11,3.6,3.6,100.0,1.2,1.4,86.7,7.2,3.4,131.5,39.1,3.0,59.9,20.0,0.0,0.6,2.0,3.1,0.0
53,LSU,10,3.6,3.6,100.0,1.8,2.1,85.7,9.0,5.9,259.3,43.9,1.5,34.6,23.1,0.1,1.3,14.4,11.1,0.0
54,Marshall,10,3.6,3.6,100.0,0.7,1.0,70.0,5.7,3.6,149.7,41.6,2.2,41.7,19.0,0.0,2.1,17.5,8.3,0.0
55,Maryland,5,2.8,2.8,100.0,0.8,1.4,57.1,5.2,5.6,228.4,40.8,3.2,50.2,15.7,0.0,0.4,1.0,2.5,0.0
56,Massachusetts,4,0.3,0.3,100.0,0.3,0.8,33.3,1.0,7.3,303.5,41.9,3.0,44.5,14.8,0.0,1.0,13.8,13.8,0.0
57,Memphis,11,3.3,3.4,97.3,1.4,2.0,68.2,7.4,4.0,170.3,42.6,2.5,44.0,17.9,0.0,1.9,17.1,9.0,0.1
58,Miami (FL),11,3.5,3.5,100.0,1.8,2.0,90.9,8.9,4.5,213.4,46.9,2.0,41.1,20.5,0.0,1.4,4.7,3.5,0.0
59,Miami (OH),3,3.7,3.7,100.0,1.0,1.3,75.0,6.7,5.0,213.3,42.7,1.0,16.7,16.7,0.0,1.7,16.7,10.0,0.0
60,Michigan,6,3.5,3.5,100.0,0.5,1.5,33.3,5.0,4.7,198.7,42.6,3.5,86.7,24.8,0.2,1.2,7.8,6.7,0.0
61,Michigan State,7,1.9,1.9,100.0,1.3,1.7,75.0,5.7,6.6,279.7,42.6,2.7,52.4,19.3,0.0,0.6,4.6,8.0,0.0
62,Middle Tennessee State,9,2.6,2.6,100.0,0.8,1.4,53.8,4.9,5.0,217.9,43.6,2.3,43.9,18.8,0.0,0.8,2.0,2.6,0.0
63,Minnesota,7,3.3,3.7,88.5,0.6,0.9,66.7,5.0,3.9,139.6,36.2,2.1,37.1,17.3,0.0,0.9,3.0,3.5,0.0
64,Mississippi State,11,2.6,2.6,100.0,0.9,1.1,83.3,5.4,5.5,227.6,41.7,1.3,35.7,28.1,0.0,0.9,6.3,6.9,0.0
65,Missouri,10,2.8,2.8,100.0,1.7,2.0,85.0,7.9,3.9,169.8,43.5,1.0,16.3,16.3,0.0,1.2,4.5,3.8,0.0
66,Navy,10,1.6,1.8,88.9,0.6,1.0,60.0,3.4,5.3,193.2,36.5,1.3,28.4,21.8,0.0,1.0,2.6,2.6,0.0
67,Nebraska,8,2.5,2.5,100.0,1.6,1.9,86.7,7.4,4.1,163.8,39.7,1.9,34.3,18.3,0.0,1.1,15.0,13.3,0.0
68,Nevada,9,3.1,3.4,90.3,1.7,2.0,83.3,8.1,3.6,160.4,45.1,3.0,65.6,21.9,0.0,1.6,12.6,8.1,0.0
69,New Mexico,7,2.9,2.9,100.0,1.3,2.1,60.0,6.7,4.9,196.0,40.4,4.0,80.0,20.0,0.0,0.7,4.6,6.4,0.0
70,New Mexico State,2,2.5,2.5,100.0,2.0,2.0,100.0,8.5,5.0,205.0,41.0,3.5,114.0,32.6,0.5,1.5,6.5,4.3,0.0
71,North Carolina,12,5.3,5.3,100.0,1.0,1.5,66.7,8.3,3.0,125.2,41.7,0.9,17.8,19.5,0.0,1.5,13.9,9.3,0.0
72,North Carolina State,12,3.6,3.6,100.0,1.0,1.4,70.6,6.6,4.5,202.2,44.9,1.9,43.8,22.9,0.1,1.0,10.8,10.8,0.0
73,North Texas,10,4.4,4.5,97.8,0.8,1.4,57.1,6.8,3.7,160.5,43.4,3.0,58.7,19.6,0.0,1.5,5.7,3.8,0.0
74,Northern Illinois,6,2.3,2.3,100.0,1.2,1.5,77.8,5.8,5.5,231.2,42.0,5.3,120.2,22.5,0.0,0.5,2.7,5.3,0.0
75,Northwestern,9,3.0,3.1,96.4,1.0,1.3,75.0,6.0,5.0,209.2,41.8,1.1,26.1,23.5,0.0,1.1,7.3,6.6,0.0
76,Notre Dame,12,4.2,4.2,100.0,1.3,1.9,65.2,7.9,3.6,153.3,42.8,1.9,41.0,21.4,0.0,1.2,10.7,9.1,0.0
77,Ohio,3,4.3,4.7,92.9,0.7,2.0,33.3,6.3,4.3,160.0,36.9,3.7,122.3,33.4,0.7,1.7,8.3,5.0,0.0
78,Ohio State,8,5.4,5.4,100.0,0.9,1.4,63.6,8.0,3.8,166.8,44.5,0.9,11.6,13.3,0.0,1.3,7.8,6.2,0.0
79,Oklahoma,11,5.2,5.2,100.0,2.0,2.5,78.6,11.2,3.5,135.1,38.1,1.4,35.5,26.1,0.0,1.5,18.0,12.4,0.0
80,Oklahoma State,11,3.3,3.5,92.3,1.6,2.1,78.3,8.2,5.6,226.6,40.2,2.4,42.5,18.0,0.1,1.7,9.9,5.7,0.0
81,Ole Miss,10,4.5,4.8,93.8,0.6,1.0,60.0,6.3,2.7,126.1,46.7,2.1,50.3,24.0,0.1,0.7,4.9,7.0,0.0
82,Oregon,7,4.0,4.0,100.0,0.7,1.1,62.5,6.1,3.6,155.9,43.6,3.1,60.4,19.2,0.0,0.9,6.0,7.0,0.0
83,Oregon State,7,2.7,2.7,100.0,0.7,1.0,71.4,4.9,4.0,160.3,40.1,4.3,96.3,22.5,0.0,1.4,21.9,15.3,0.0
84,Penn State,9,3.0,3.1,96.4,1.2,2.0,61.1,6.7,3.7,152.3,41.5,2.2,46.1,20.8,0.1,0.9,21.9,24.6,0.1
85,Pitt,11,2.9,3.0,97.0,2.1,2.6,79.3,9.2,4.9,215.3,43.9,1.5,33.6,21.8,0.0,1.7,16.3,9.4,0.0
86,Purdue,6,3.3,3.3,100.0,1.2,1.5,77.8,6.8,4.5,165.0,36.7,3.3,66.8,20.1,0.0,1.2,25.5,21.9,0.0
87,Rice,5,2.0,2.2,90.9,1.8,2.4,75.0,7.4,4.2,179.6,42.8,2.6,52.2,20.1,0.0,1.6,13.4,8.4,0.0
88,Rutgers,9,2.3,2.4,95.5,1.2,1.4,84.6,6.0,5.3,229.1,43.0,3.7,94.3,25.7,0.2,1.2,16.0,13.1,0.0
89,San Diego State,8,2.9,3.0,95.8,1.3,1.8,71.4,6.6,5.0,229.8,46.0,2.0,53.4,26.7,0.1,2.9,30.6,10.7,0.1
90,San Jose State,8,3.3,3.3,100.0,1.1,1.4,81.8,6.6,4.3,163.4,38.4,2.4,73.9,31.1,0.3,1.8,15.9,9.1,0.0
91,SMU,10,4.3,4.6,93.5,1.7,2.1,81.0,9.4,3.4,130.2,38.3,2.9,55.1,19.0,0.0,2.1,26.1,12.4,0.0
92,South Alabama,11,2.2,2.3,96.0,1.2,1.5,76.5,5.7,3.9,163.1,41.7,2.0,33.5,16.8,0.0,0.7,3.7,5.1,0.0
93,South Carolina,10,2.6,2.7,96.3,1.1,1.9,57.9,5.9,3.9,169.0,43.3,1.3,25.6,19.7,0.0,0.8,2.9,3.6,0.0
94,South Florida,9,2.6,2.6,100.0,1.0,1.4,69.2,5.6,4.6,185.0,40.6,3.7,78.9,21.5,0.0,0.9,7.9,8.9,0.1
95,Southern Mississippi,10,2.9,2.9,100.0,1.2,1.6,75.0,6.5,4.0,155.0,38.8,3.1,67.8,21.9,0.1,0.9,6.3,7.0,0.0
96,Stanford,6,2.8,3.0,94.4,1.2,1.8,63.6,6.3,3.8,149.7,39.0,3.5,85.5,24.4,0.0,0.7,3.3,5.0,0.0
97,Syracuse,11,2.1,2.2,95.8,0.8,1.0,81.8,4.5,6.7,301.3,44.8,2.8,65.9,23.4,0.1,1.2,16.8,14.2,0.0
98,TCU,10,3.6,3.7,97.3,1.2,1.7,70.6,7.2,5.7,233.7,41.0,2.0,41.0,20.5,0.0,2.6,31.1,12.0,0.2
99,Temple,7,1.4,1.7,83.3,1.3,1.6,81.8,5.3,5.7,251.4,44.0,2.0,35.6,17.8,0.0,0.6,3.6,6.3,0.0
100,Tennessee,10,2.6,2.8,92.9,0.5,0.9,55.6,4.1,4.9,213.8,43.6,1.9,39.4,20.7,0.0,0.5,3.5,7.0,0.0
101,Texas,10,5.0,5.1,98.0,1.5,2.1,71.4,9.5,4.8,203.6,42.4,2.3,66.6,29.0,0.1,1.8,5.6,3.1,0.0
102,Texas A&M,10,4.1,4.2,97.6,1.1,1.3,84.6,7.4,3.6,145.9,40.5,0.3,3.0,10.0,0.0,1.6,9.6,6.0,0.0
103,Texas State,12,3.4,3.6,95.3,0.8,1.0,75.0,5.7,4.8,194.7,41.0,4.0,82.7,20.7,0.1,1.4,17.4,12.3,0.1
104,Texas Tech,10,3.2,3.4,94.1,0.9,1.6,56.3,5.9,5.1,221.0,43.3,2.3,39.5,17.2,0.0,1.9,10.7,5.6,0.0
105,Toledo,6,3.8,4.0,95.8,1.2,1.7,70.0,7.3,3.2,115.3,36.4,3.7,58.2,15.9,0.0,2.8,11.3,4.0,0.0
106,Troy,11,3.1,3.2,97.1,1.2,1.9,61.9,6.6,4.3,178.4,41.7,3.5,68.6,19.4,0.0,0.9,4.8,5.3,0.0
107,Tulane,12,4.3,4.3,98.1,0.8,1.3,60.0,6.5,4.8,214.7,45.2,2.1,50.2,24.1,0.0,1.7,21.1,12.7,0.0
108,Tulsa,9,2.9,3.0,96.3,1.3,1.8,75.0,6.9,4.7,200.1,42.9,1.8,29.7,16.7,0.0,1.7,5.2,3.1,0.0
109,UAB,9,3.4,3.6,96.9,1.2,1.3,91.7,7.1,5.1,217.6,42.6,1.4,29.9,20.7,0.0,0.8,8.3,10.7,0.0
110,UCF,10,4.6,4.9,93.9,1.2,1.7,70.6,8.2,4.0,175.6,43.9,2.0,31.7,15.9,0.0,0.9,5.3,5.9,0.0
111,UCLA,7,4.3,4.4,96.8,0.9,1.0,85.7,6.9,3.6,147.7,41.4,1.7,33.0,19.3,0.0,0.9,11.0,12.8,0.0
112,UNLV,6,1.8,2.0,91.7,0.8,1.0,83.3,4.3,5.7,231.3,40.8,3.5,68.2,19.5,0.0,0.8,6.5,7.8,0.0
113,USC,6,3.8,3.8,100.0,1.5,2.2,69.2,8.3,3.0,139.2,46.4,2.2,50.8,23.5,0.0,1.7,7.2,4.3,0.0
114,Utah,5,3.4,3.4,100.0,1.6,1.6,100.0,8.2,4.0,158.0,39.5,0.8,22.6,28.3,0.0,1.8,29.4,16.3,0.2
115,Utah State,6,1.7,2.0,83.3,0.5,0.5,100.0,3.2,6.2,251.2,40.7,3.8,94.0,24.5,0.2,0.8,3.7,4.4,0.0
116,UTEP,8,2.9,2.9,100.0,0.6,1.1,55.6,4.8,4.0,156.4,39.1,3.3,83.5,25.7,0.1,0.9,2.9,3.3,0.0
117,UTSA,12,3.3,3.4,97.6,1.4,1.7,85.0,7.6,4.8,218.4,46.0,2.4,42.3,17.5,0.0,1.8,5.5,3.1,0.0
118,Vanderbilt,9,1.9,1.9,100.0,0.4,1.0,44.4,3.2,5.7,228.1,40.3,1.7,37.3,22.4,0.0,0.6,5.1,9.2,0.0
119,Virginia,10,3.5,3.6,97.2,1.0,1.3,76.9,6.5,4.3,178.0,41.4,2.3,53.3,23.2,0.0,1.4,7.1,5.1,0.0
120,Virginia Tech,11,3.1,3.1,100.0,1.8,2.4,76.9,8.5,3.7,158.3,42.5,2.2,48.5,22.3,0.0,1.5,6.0,3.9,0.0
121,Wake Forest,9,4.2,4.2,100.0,1.6,1.9,82.4,8.9,4.4,178.9,40.3,2.6,39.1,15.3,0.1,1.1,10.7,9.6,0.0
122,Washington,4,3.3,3.5,92.9,1.5,2.3,66.7,7.8,2.8,106.0,38.5,2.0,31.0,15.5,0.0,0.8,14.0,18.7,0.0
123,Washington State,4,3.0,3.3,92.3,1.0,1.0,100.0,6.0,4.8,222.0,46.7,2.8,50.3,18.3,0.0,0.3,2.5,10.0,0.0
124,West Virginia,10,2.9,2.9,100.0,1.4,2.0,70.0,7.1,4.6,185.6,40.3,2.3,46.0,20.0,0.0,2.1,10.5,5.0,0.0
125,Western Kentucky,12,2.3,2.3,100.0,1.1,1.2,92.9,5.5,4.7,213.3,45.7,2.6,41.0,15.9,0.0,0.9,2.3,2.5,0.0
126,Western Michigan,6,5.2,5.7,91.2,0.8,1.5,55.6,7.7,3.0,127.8,42.6,4.7,89.3,19.1,0.2,1.7,5.7,3.4,0.0
127,Wisconsin,7,3.3,3.3,100.0,0.7,1.1,62.5,5.4,5.1,212.0,41.2,1.9,41.4,22.3,0.0,1.7,5.0,2.9,0.0
128,Wyoming,6,2.7,2.7,100.0,2.2,2.3,92.9,9.2,4.8,187.0,38.7,2.5,48.3,19.3,0.0,2.0,11.0,5.5,0.0
